Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1981,,8220,,
11/1981,,14040,,
12/1981,,24600,,
01/1982,,7900,,
02/1982,,28250,,
03/1982,,15500,,
04/1982,,54500,,
05/1982,,63700,,
06/1982,,64120,,
07/1982,,64200,,
08/1982,,60900,,
09/1982,,54690,,
10/1982,,63500,,
11/1982,,39730,,
12/1982,,20700,,
01/1983,,6620,,
02/1983,,10220,,
03/1983,,6380,,
04/1983,,2840,,
05/1983,,58600,,
06/1983,,60680,,
07/1983,,63900,,
08/1983,,58700,,
09/1983,,45850,,
10/1983,,38490,,
11/1983,,51250,,
12/1983,,46580,,
01/1984,,32120,,
02/1984,,14900,,
03/1984,,10030,,
04/1984,,17880,,
05/1984,,63960,,
06/1984,,64240,,
07/1984,,57290,,
08/1984,,45490,,
09/1984,,28340,,
10/1984,,20790,,
11/1984,,13200,,
12/1984,,11530,,
01/1985,,12020,,
02/1985,,6140,,
03/1985,,3560,,
04/1985,,26090,,
05/1985,,57630,,
06/1985,,59450,,
07/1985,,51140,,
08/1985,,39690,,
09/1985,,28640,,
10/1985,,26920,,
11/1985,,20380,,
12/1985,,15870,,
01/1986,,14100,,
02/1986,,37290,,
03/1986,,57500,,
04/1986,,59670,,
05/1986,,63730,,
06/1986,,63970,,
07/1986,,61250,,
08/1986,,61150,,
09/1986,,48840,,
10/1986,,25220,,
11/1986,,19340,,
12/1986,,12680,,
01/1987,,12140,,
02/1987,,8510,,
03/1987,,12480,,
04/1987,,38700,,
05/1987,,59780,,
06/1987,,59871,,
07/1987,,34953,,
08/1987,,10689,,
09/1987,,7789,,
10/1987,,8797,,
11/1987,,13651,,
12/1987,,16987,,
01/1988,,16180,,
02/1988,,14917,,
03/1988,,19785,,
04/1988,,41704,,
05/1988,,53915,,
06/1988,,49085,,
07/1988,,19232,,
08/1988,,6539,,
09/1988,,10067,,
10/1988,,11064,,
11/1988,,7069,,
12/1988,,9999,,
01/1989,,10361,,
02/1989,,13136,,
03/1989,,23651,,
04/1989,,52867,,
05/1989,,63124,,
06/1989,,62764,,
07/1989,,55587,,
08/1989,,39756,,
09/1989,,19883,,
10/1989,,17900,,
11/1989,,10440,,
12/1989,,9000,,
01/1990,,10200,,
02/1990,,14500,,
03/1990,,11600,,
04/1990,,51700,,
05/1990,,59600,,
06/1990,,58200,,
07/1990,,52300,,
08/1990,,33200,,
09/1990,,20400,,
10/1990,,15930,,
11/1990,,12140,,
12/1990,,9772,,
01/1991,,10530,,
02/1991,,11859,,
03/1991,,13839,,
04/1991,,10868,,
05/1991,,43297,,
06/1991,,61639,,
07/1991,,47964,,
08/1991,,37766,,
09/1991,,31616,,
10/1991,,19000,,
11/1991,,17166,,
12/1991,,11537,,
01/1992,,10332,,
02/1992,,7899,,
03/1992,,5010,,
04/1992,,32191,,
05/1992,,61605,,
06/1992,,51854,,
07/1992,,40552,,
08/1992,,25637,,
09/1992,,12661,,
10/1992,,10000,,
11/1992,,9420,,
12/1992,,8720,,
01/1993,,8020,,
02/1993,,7360,,
03/1993,,7520,,
04/1993,,25200,,
05/1993,,64000,,
06/1993,,62800,,
07/1993,,61500,,
08/1993,,50900,,
09/1993,,35500,,
10/1993,,29641,,
11/1993,,11053,,
12/1993,,12909,,
01/1994,,6297,,
02/1994,,5670,,
03/1994,,4932,,
04/1994,,23610,,
05/1994,,54266,,
06/1994,,55967,,
07/1994,,47547,,
08/1994,,35161,,
09/1994,,26236,,
10/1994,,14600,,
11/1994,,8520,,
12/1994,,7750,,
01/1995,,6050,,
02/1995,,15300,,
03/1995,,26300,,
04/1995,,40600,,
05/1995,,63800,,
06/1995,,62600,,
07/1995,,63400,,
08/1995,,61400,,
09/1995,,60900,,
10/1995,,43500,,
11/1995,,39300,,
12/1995,,31300,,
01/1996,,22300,,
02/1996,,20400,,
03/1996,,8190,,
04/1996,,30000,,
05/1996,,63400,,
06/1996,,63600,,
07/1996,,57800,,
08/1996,,43600,,
09/1996,,32400,,
10/1996,,24372,,
11/1996,,17152,,
12/1996,,44380,,
01/1997,,55403,,
02/1997,,42979,,
03/1997,,42994,,
04/1997,,61967,,
05/1997,,64052,,
06/1997,,63905,,
07/1997,,55335,,
08/1997,,35067,,
09/1997,,16070,,
10/1997,,12698,,
11/1997,,11869,,
12/1997,,8442,,
01/1998,,8767,,
02/1998,,6099,,
03/1998,,11731,,
04/1998,,19435,,
05/1998,,60395,,
06/1998,,62551,,
07/1998,,63892,,
08/1998,,53717,,
09/1998,,47483,,
10/1998,,36236,,
11/1998,,33547,,
12/1998,,24753,,
01/1999,,20247,,
02/1999,,10009,,
03/1999,,14312,,
04/1999,,14238,,
05/1999,,62088,,
06/1999,,64254,,
07/1999,,55459,,
08/1999,,40837,,
09/1999,,24639,,
10/1999,,14800,r,
11/1999,,9425,,
12/1999,,10500,r,
01/2000,,16098,,
02/2000,,13800,,
03/2000,,14397,,
04/2000,,33700,r,
05/2000,,63300,r,
06/2000,,64300,r,
07/2000,,44000,r,
08/2000,,23400,r,
09/2000,,15800,r,
10/2000,,13597,,
11/2000,,5597,,
12/2000,,4947,,
01/2001,,5823,,
02/2001,,4999,,
03/2001,,14200,r,
04/2001,,19400,r,
05/2001,,62500,r,
06/2001,,58805,,
07/2001,,50700,r,
08/2001,,37900,r,
09/2001,,27100,r,
10/2001,,21371,,
11/2001,,19117,,
12/2001,,14161,,
01/2002,,5638,,
02/2002,,5470,r,
03/2002,,6820,r,
04/2002,,21087,,
05/2002,,50365,,
06/2002,,63460,,
07/2002,,58694,,
08/2002,,51266,,
09/2002,,24453,,
10/2002,,10700,,
11/2002,,9120,,
12/2002,,6574,,
01/2003,,7498,,
02/2003,,5155,,
03/2003,,9136,,
04/2003,,6978,,
05/2003,,61099,,
06/2003,,62948,,
07/2003,,53725,,
08/2003,,45870,,
09/2003,,33331,,
10/2003,,23303,,
11/2003,,23669,,
12/2003,,18895,,
01/2004,,10340,,
02/2004,,7427,,
03/2004,,11667,,
04/2004,,27171,,
05/2004,,62998,,
06/2004,,63880,,
07/2004,,56522,,
08/2004,,45752,,
09/2004,,36184,,
10/2004,,27167,,
11/2004,,12114,,
12/2004,,14683,,
01/2005,,13017,,
02/2005,,14312,,
03/2005,,6026,,
04/2005,,11951,,
05/2005,,61115,,
06/2005,,62952,,
07/2005,,61605,,
08/2005,,54802,,
09/2005,,46681,,
10/2005,,40156,,
11/2005,,34334,,
12/2005,,45959,,
01/2006,,40138,,
02/2006,,25540,,
03/2006,,8532,,
04/2006,,31444,,
05/2006,,59193,,
06/2006,,63905,,
07/2006,,60990,,
08/2006,,57925,,
09/2006,,49441,,
10/2006,,49772,,
11/2006,,36723,,
12/2006,,21417,,
01/2007,,15434,,
02/2007,,12782,,
03/2007,,23022,,
04/2007,,45452,,
05/2007,,62698,,
06/2007,,61909,,
07/2007,,51135,,
08/2007,,38341,,
09/2007,,33581,,
10/2007,,29009,,
11/2007,,19599,,
12/2007,,13182,,
01/2008,,7640,,
02/2008,,6770,,
03/2008,,6628,,
04/2008,,11869,,
05/2008,,52319,,
06/2008,,61834,,
07/2008,,56470,,
08/2008,,40120,,
09/2008,,30696,,
10/2008,,25779,,
11/2008,,24905,,
12/2008,,18985,,
01/2009,,20939,,
02/2009,,15061,,
03/2009,,12090,,
04/2009,,28065,,
05/2009,,61061,,
06/2009,,63342,,
07/2009,,52358,,
08/2009,,52260,,
09/2009,,54635,,
10/2009,,42401,,
11/2009,,27830,,
12/2009,,16073,,
01/2010,,8284,,
02/2010,,8399,,
03/2010,,17988,,
04/2010,,44569,,
05/2010,,58344,,
06/2010,,62919,,
07/2010,,55847,,
08/2010,,39301,,
09/2010,,37972,,
10/2010,,48760,,
11/2010,,37423,,
12/2010,,42051,,
01/2011,,29311,,
02/2011,,18057,,
03/2011,,16020,,
04/2011,,53378,,
05/2011,,58540,,
06/2011,,60151,,
07/2011,,63855,,
08/2011,,54496,,
09/2011,,43883,,
10/2011,,31112,,
11/2011,,28652,,
12/2011,,23554,,
01/2012,,19464,,
02/2012,,10902,,
03/2012,,13125,,
04/2012,,49411,,
05/2012,,61909,,
06/2012,,62571,,
07/2012,,55924,,
08/2012,,44020,,
09/2012,,35411,,
10/2012,,21237,,
11/2012,,21136,,
12/2012,,25057,,
01/2013,,15130,,
02/2013,,9738,,
03/2013,,7125,,
04/2013,,15327,,
05/2013,,46670,,
06/2013,,61414,,
07/2013,,53966,,
08/2013,,47714,,
09/2013,,44298,,
10/2013,,32502,,
11/2013,,27057,,
12/2013,,15952,,
01/2014,,12261,,
02/2014,,11962,,
03/2014,,19358,,
04/2014,,45023,,
05/2014,,62404,,
06/2014,,63057,,
07/2014,,60638,,
08/2014,,54334,,
09/2014,,47134,,
10/2014,,39760,,
11/2014,,30810,,
12/2014,,22552,,
01/2015,,13106,,
02/2015,,18860,,
03/2015,,26108,,
04/2015,,36152,,
05/2015,,53284,,
06/2015,,56172,,
07/2015,,51205,,
08/2015,,40170,,
09/2015,,32581,,
10/2015,,27924,,
11/2015,,23359,,
12/2015,,26131,,
01/2016,,--,,
