Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
06/1976,,160790,,
07/1976,,155450,,
08/1976,,148100,,
09/1976,,145190,,
10/1976,,143490,,
11/1976,,141550,,
12/1976,,139210,,
01/1977,,139040,,
02/1977,,137100,,
03/1977,,134780,,
04/1977,,131270,,
05/1977,,129770,,
06/1977,,126300,,
07/1977,,120830,,
08/1977,,115600,,
09/1977,,112100,,
10/1977,,109300,,
11/1977,,106800,,
12/1977,,106200,,
01/1978,,129900,,
02/1978,,205900,,
03/1978,,206100,,
04/1978,,205400,,
05/1978,,206800,,
06/1978,,205500,,
07/1978,,201100,,
08/1978,,196400,,
09/1978,,193400,,
10/1978,,190200,,
11/1978,,189000,,
12/1978,,188300,,
01/1979,,194100,,
02/1979,,205100,,
03/1979,,205500,,
04/1979,,204800,,
05/1979,,203500,,
06/1979,,199300,,
07/1979,,194600,,
08/1979,,189500,,
09/1979,,183900,,
10/1979,,181300,,
11/1979,,179000,,
12/1979,,177100,,
01/1980,,179900,,
02/1980,,205700,,
03/1980,,204800,,
04/1980,,204800,,
05/1980,,204300,,
06/1980,,200900,,
07/1980,,196300,r,
08/1980,,191100,,
09/1980,,187400,,
10/1980,,183900,,
11/1980,,180960,,
12/1980,,179500,,
01/1981,,179300,,
02/1981,,180500,,
03/1981,,196600,,
04/1981,,197100,,
05/1981,,187800,,
06/1981,,193300,,
07/1981,,182500,,
08/1981,,177200,,
09/1981,,168900,,
10/1981,,166100,,
11/1981,,164700,,
12/1981,,163000,,
01/1982,,162300,,
02/1982,,161080,,
03/1982,,164110,,
04/1982,,182000,,
05/1982,,176900,,
06/1982,,176900,,
07/1982,,172100,,
08/1982,,165400,,
09/1982,,159500,,
10/1982,,153200,,0.94,,
11/1982,,153100,,5.36,,
12/1982,,167600,,2.80,,
01/1983,,205400,,9.88,,
02/1983,,205500,,8.82,,
03/1983,,205300,,--,,
04/1983,,205600,,5.75,,
05/1983,,204700,,0.43,,
06/1983,,204810,,0.01,,
07/1983,,202200,,0.00,,
08/1983,,199500,,0.72,,
09/1983,,196300,,0.46,,
10/1983,,197600,,2.69,,
11/1983,,197600,,4.43,,
12/1983,,200600,,3.95,,
01/1984,,204600,,0.17,,
02/1984,,204200,,0.38,,
03/1984,,202000,,0.34,,
04/1984,,198700,,0.29,,
05/1984,,194400,,0.00,,
06/1984,,190000,,0.00,,
07/1984,,182200,,0.02,,
08/1984,,176900,,0.05,,
09/1984,,171600,,0.22,,
10/1984,,168100,,0.53,,
11/1984,,167100,,2.73,,
12/1984,,168600,,4.72,,
01/1985,,168600,,1.08,,
02/1985,,169200,,1.41,,
03/1985,,168200,,1.55,,
04/1985,,165700,,0.21,,
05/1985,,160700,,0.00,,
06/1985,,155188,,0.00,,
07/1985,,149175,,0.00,,
08/1985,,141724,,0.00,,
09/1985,,135748,,0.05,,
10/1985,,132900,,0.76,,
11/1985,,132000,,5.23,,
12/1985,,131000,,0.85,,
01/1986,,130600,,2.39,,
02/1986,,168220,,7.37,,
03/1986,,196200,,5.76,,
04/1986,,200300,,0.26,,
05/1986,,197000,,0.00,,
06/1986,,192700,,0.00,,
07/1986,,186230,,0.00,,
08/1986,,176410,,0.00,,
09/1986,,171870,,0.71,,
10/1986,,169060,,0.05,,
11/1986,,166440,,0.69,,
12/1986,,164240,,0.67,,
01/1987,,162100,,1.49,,
02/1987,,160800,,1.89,,
03/1987,,160500,,4.16,,
04/1987,,164240,,0.08,,
05/1987,,152500,,0.00,,
06/1987,,146028,,0.01,,
07/1987,,140489,,0.01,,
08/1987,,132800,,0.00,,
09/1987,,128352,,0.00,,
10/1987,,127880,,2.21,,
11/1987,,124620,,1.46,,
12/1987,,124100,,5.28,,
01/1988,,124300,,3.06,,
02/1988,,124100,,4.62,,
03/1988,,126535,,1.71,,
04/1988,,124100,,3.39,,
05/1988,,122800,,0.07,,
06/1988,,115400,,0.11,,
07/1988,,107600,,0.01,,
08/1988,,103025,,0.00,,
09/1988,,99150,,0.00,,
10/1988,,95000,,0.00,,
11/1988,,92550,,0.88,,
12/1988,,91687,,4.28,,
01/1989,,90791,,0.33,,
02/1989,,91101,,2.46,,
03/1989,,90665,,0.63,,
04/1989,,87860,,0.07,,
05/1989,,82577,,0.46,,
06/1989,,78620,,0.00,,
07/1989,,74869,,0.00,,
08/1989,,71540,,0.00,,
09/1989,,66100,,0.57,,
10/1989,,64023,,0.30,,
11/1989,,61896,,0.45,,
12/1989,,60194,,0.00,,
01/1990,,59441,,2.75,,
02/1990,,58814,,1.52,,
03/1990,,57566,,0.08,,
04/1990,,55804,,0.76,,
05/1990,,52149,,0.63,,
06/1990,,43052,,0.00,,
07/1990,,40656,,0.00,,
08/1990,,36885,,0.00,,
09/1990,,34188,,0.09,,
10/1990,,32606,,0.00,,
11/1990,,31062,,0.38,,
12/1990,,29494,,0.69,,
01/1991,,29000,,1.26,,
02/1991,,27900,,3.26,,
03/1991,,65034,,18.60,,
04/1991,,75252,,0.13,,
05/1991,,74940,,0.00,,
06/1991,,69357,,0.00,,
07/1991,,66044,,0.00,,
