Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1998,,123442,,
11/1998,,124237,,
12/1998,,124010,,
01/1999,,124396,,
02/1999,,123306,,
03/1999,,123760,,
04/1999,,124852,,
05/1999,,125286,,
06/1999,,125560,,
07/1999,,125880,,
08/1999,,125537,,
09/1999,,125354,,
10/1999,,123760,,
11/1999,,120394,,
12/1999,,119833,,
01/2000,,119968,,
02/2000,,120215,,
03/2000,,118535,,
04/2000,,112650,,
05/2000,,110008,,
06/2000,,112584,,
07/2000,,111708,,
08/2000,,111162,,
09/2000,,110552,,
10/2000,,109595,,
11/2000,,109031,,
12/2000,,108793,,
01/2001,,98303,,
02/2001,,98617,,
03/2001,,105732,,
04/2001,,112430,,
05/2001,,113484,,
06/2001,,113880,,
07/2001,,117176,,
08/2001,,119744,,
09/2001,,121948,,
10/2001,,122672,,
11/2001,,121971,,
12/2001,,116976,,
01/2002,,114408,,
02/2002,,114629,,
03/2002,,121610,,
04/2002,,116865,,
05/2002,,115800,,
06/2002,,116088,,
07/2002,,115977,,
08/2002,,115844,,
09/2002,,115468,,
10/2002,,117331,,
11/2002,,126040,,
12/2002,,126658,,
01/2003,,118625,,
02/2003,,114210,,
03/2003,,123442,,
04/2003,,125903,,
05/2003,,124921,,
06/2003,,123556,,
07/2003,,122265,,
08/2003,,115955,,
09/2003,,113594,,
10/2003,,115601,,
11/2003,,116554,,
12/2003,,108360,,
01/2004,,119788,,
02/2004,,122242,,
03/2004,,122355,,
04/2004,,121204,,
05/2004,,120597,,
06/2004,,117754,,
07/2004,,116687,,
08/2004,,116354,,
09/2004,,116421,,
10/2004,,122016,,
11/2004,,123624,,
12/2004,,123510,,
01/2005,,115933,,
02/2005,,116909,,
03/2005,,122129,,
04/2005,,125377,,
05/2005,,125126,,
06/2005,,124124,,
07/2005,,122378,,
08/2005,,105689,,
09/2005,,81572,,
10/2005,,75195,,
11/2005,,67388,,
12/2005,,60069,,
01/2006,,66065,,
02/2006,,65709,,
03/2006,,70830,,
04/2006,,70830,,
05/2006,,71902,,
06/2006,,70535,,
07/2006,,70848,,
08/2006,,71753,,
09/2006,,71809,,
10/2006,,69472,,
11/2006,,62913,,
12/2006,,67640,,
01/2007,,68578,,
02/2007,,68181,,
03/2007,,71402,,
04/2007,,70682,,
05/2007,,69930,,
06/2007,,70131,,
07/2007,,67928,,
08/2007,,66012,,
09/2007,,66012,,
10/2007,,67730,,
11/2007,,67334,,
12/2007,,61768,,
01/2008,,72254,,
02/2008,,73391,,
03/2008,,72161,,
04/2008,,70535,,
05/2008,,70186,,
06/2008,,68578,,
07/2008,,68235,,
08/2008,,68235,,
09/2008,,68524,,
10/2008,,73803,,
11/2008,,74009,,
12/2008,,69527,,
01/2009,,62861,,
02/2009,,58914,,
03/2009,,61820,,
04/2009,,61630,,
05/2009,,62062,,
06/2009,,62670,,
07/2009,,62965,,
08/2009,,62097,,
09/2009,,62392,,
10/2009,,63297,,
11/2009,,64173,,
12/2009,,63927,,
01/2010,,63629,,
02/2010,,65231,,
03/2010,,66743,,
04/2010,,65816,,
05/2010,,63734,,
06/2010,,63053,,
07/2010,,62635,,
08/2010,,61768,,
09/2010,,61200,,
10/2010,,60736,,
11/2010,,64260,,
12/2010,,69271,,
01/2011,,70333,,
02/2011,,73597,,
03/2011,,73073,,
04/2011,,73747,,
05/2011,,72831,,
06/2011,,72384,,
07/2011,,69655,,
08/2011,,67982,,
09/2011,,66012,,
10/2011,,67640,,
11/2011,,73036,,
12/2011,,71642,,
01/2012,,68868,,
02/2012,,73953,,
