Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1998,,162734,,
11/1998,,164169,,
12/1998,,159283,,
01/1999,,165295,,
02/1999,,161071,,
03/1999,,167281,,
04/1999,,161158,,
05/1999,,167396,,
06/1999,,159184,,
07/1999,,154418,,
08/1999,,163766,,
09/1999,,154879,,
10/1999,,164308,,
11/1999,,160573,,
12/1999,,159592,,
01/2000,,165650,,
02/2000,,168883,,
03/2000,,164523,,
04/2000,,162471,,
05/2000,,160250,,
06/2000,,157876,,
07/2000,,164144,,
08/2000,,160859,,
09/2000,,164359,,
10/2000,,165485,,
11/2000,,161970,,
12/2000,,166362,,
01/2001,,158800,,
02/2001,,160959,,
03/2001,,167997,,
04/2001,,164169,,
05/2001,,158122,,
06/2001,,155585,,
07/2001,,160884,,
08/2001,,155890,,
09/2001,,161995,,
10/2001,,161645,,
11/2001,,155220,,
12/2001,,164144,,
01/2002,,162910,,
02/2002,,164018,,
03/2002,,167179,,
04/2002,,162948,,
05/2002,,157962,,
06/2002,,160250,,
07/2002,,158800,,
08/2002,,159964,,
09/2002,,164902,,
10/2002,,162847,,
11/2002,,162045,,
12/2002,,165473,,
01/2003,,164232,,
02/2003,,164535,,
03/2003,,160436,,
04/2003,,161683,,
05/2003,,161683,,
06/2003,,165105,,
07/2003,,158233,,
08/2003,,164106,,
09/2003,,165092,,
10/2003,,168164,r,
11/2003,,159245,r,
12/2003,,158825,r,
01/2004,,165295,,
02/2004,,165688,,
03/2004,,166413,,
04/2004,,160934,,
05/2004,,164510,,
06/2004,,165232,,
07/2004,,162321,,
08/2004,,165790,,
09/2004,,160971,,
10/2004,,168164,,
11/2004,,159245,,
12/2004,,158825,,
01/2005,,164586,,
02/2005,,167409,,
03/2005,,169553,,
04/2005,,162647,,
05/2005,,168703,,
06/2005,,164371,,
07/2005,,167242,,
08/2005,,157802,,
09/2005,,160212,,
10/2005,,166808,,
11/2005,,158739,,
12/2005,,165777,,
01/2006,,164056,,
02/2006,,164333,,
03/2006,,166108,,
04/2006,,167012,,
05/2006,,165409,,
06/2006,,159097,,
07/2006,,165676,,
08/2006,,163753,,
09/2006,,163350,,
10/2006,,166987,,
11/2006,,161196,,
12/2006,,160039,,
01/2007,,156906,,
02/2007,,160797,,
03/2007,,167792,,
04/2007,,166770,,
05/2007,,161345,,
06/2007,,162408,,
07/2007,,161183,,
08/2007,,159060,,
09/2007,,166159,,
10/2007,,157581,,
11/2007,,155354,,
12/2007,,162973,,
01/2008,,163640,,
02/2008,,136402,,
03/2008,,157409,,
04/2008,,163300,,
05/2008,,159728,,
06/2008,,160784,,
07/2008,,162283,,
08/2008,,165892,,
09/2008,,163489,,
10/2008,,163224,,
11/2008,,160859,,
12/2008,,167639,,
01/2009,,166070,,
02/2009,,165498,,
03/2009,,167716,,
04/2009,,167741,,
05/2009,,168780,,
06/2009,,166528,,
07/2009,,164839,,
08/2009,,166604,,
09/2009,,165930,,
10/2009,,168151,,
11/2009,,165460,,
12/2009,,163338,,
01/2010,,166770,,
02/2010,,168190,,
03/2010,,167754,,
04/2010,,168575,,
05/2010,,169927,,
06/2010,,164308,,
07/2010,,167025,,
08/2010,,166184,,
09/2010,,164308,,
10/2010,,169992,,
11/2010,,166439,,
12/2010,,164321,,
01/2011,,168446,,
02/2011,,168408,,
03/2011,,168074,,
04/2011,,169411,,
05/2011,,166350,,
06/2011,,165574,,
07/2011,,163703,,
08/2011,,167908,,
09/2011,,164144,,
10/2011,,167985,,
11/2011,,167588,,
12/2011,,168459,,
01/2012,,166923,,
02/2012,,165955,,
03/2012,,168446,,
04/2012,,166630,,
05/2012,,168061,,
06/2012,,166566,,
07/2012,,167345,,
08/2012,,165156,,
09/2012,,168819,,
10/2012,,164030,,
11/2012,,164283,,
12/2012,,167908,,
01/2013,,166210,,
02/2013,,167153,,
03/2013,,167153,,
04/2013,,166847,,
05/2013,,164321,,
06/2013,,167882,,
07/2013,,164839,,
08/2013,,165676,,
09/2013,,166961,,
10/2013,,163866,,
11/2013,,168138,,
12/2013,,167383,,
01/2014,,168267,,
02/2014,,168780,,
03/2014,,168408,,
04/2014,,165181,,
05/2014,,164624,,
06/2014,,162747,,
07/2014,,166120,,
08/2014,,166949,,
09/2014,,168036,,
10/2014,,166604,,
11/2014,,167396,,
12/2014,,167869,,
01/2015,,167856,,
02/2015,,167972,,
03/2015,,165663,,
04/2015,,165320,,
05/2015,,168010,,
06/2015,,167972,,
07/2015,,166719,,
08/2015,,168511,,
09/2015,,167639,,
10/2015,,168755,,
11/2015,,168254,,
12/2015,,166987,,
01/2016,,--,,
