Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
03/1991,,1201565,,
04/1991,,1542231,,
05/1991,,1432612,,
06/1991,,1084678,,
07/1991,,726263,,
08/1991,,569441,,
09/1991,,653701,,
10/1991,,740880,,
11/1991,,763599,,
12/1991,,810305,,
01/1992,,1106234,,
02/1992,,1393332,,
03/1992,,1899427,,
04/1992,,1855018,,
05/1992,,1571692,,
06/1992,,1121789,,
07/1992,,677191,,
08/1992,,413450,,
09/1992,,476863,,
10/1992,,362822,,
11/1992,,380915,,
12/1992,,524416,,
01/1993,,1190213,,
02/1993,,1634837,,
03/1993,,1804747,,
04/1993,,1940946,,
05/1993,,1668093,,
06/1993,,1313472,,
07/1993,,1064794,,
08/1993,,1040364,,
09/1993,,1294245,,
10/1993,,1591983,,
11/1993,,1692739,,
12/1993,,1985549,,
01/1994,,2031140,,
02/1994,,2031013,,
03/1994,,1997419,,
04/1994,,1792193,,
05/1994,,1570063,,
06/1994,,1016523,,
07/1994,,488206,,
08/1994,,298254,,
09/1994,,490921,,
10/1994,,617952,,
11/1994,,858423,,
12/1994,,1196575,,
01/1995,,1789637,,
02/1995,,2024025,,
03/1995,,2034447,,
04/1995,,2026819,,
05/1995,,2009440,,
06/1995,,1876744,,
07/1995,,1763906,,
08/1995,,1499314,,
09/1995,,1524232,,
10/1995,,1637786,,
11/1995,,1664769,,
12/1995,,1646822,,
01/1996,,1934442,,
02/1996,,2024533,,
03/1996,,2023644,,
04/1996,,1885781,,
05/1996,,1643454,,
06/1996,,1350109,,
07/1996,,979318,,
08/1996,,753481,,
09/1996,,914750,,
10/1996,,1175411,,
11/1996,,1596193,,
12/1996,,1903404,,
01/1997,,1999062,,
02/1997,,1978868,,
03/1997,,2009693,,
04/1997,,1778698,,
05/1997,,1266881,,
06/1997,,871579,,
07/1997,,553683,,
08/1997,,396307,,
09/1997,,593428,,
10/1997,,827147,,
11/1997,,1165611,,
12/1997,,1642982,,
01/1998,,1858715,,
02/1998,,2025549,,
03/1998,,2028090,,
04/1998,,1999821,,
05/1998,,2028725,,
06/1998,,2024025,,
07/1998,,1824308,,
08/1998,,1566459,,
09/1998,,1613068,,
10/1998,,1861058,,
11/1998,,1970810,,
12/1998,,1898186,,
01/1999,,1929319,,
02/1999,,1985676,,
03/1999,,2027831,,
04/1999,,1913855,,
05/1999,,1496796,,
06/1999,,936402,,
07/1999,,611617,,
08/1999,,520283,,
09/1999,,702409,,
10/1999,,801279,,
11/1999,,1073901,,
12/1999,,1187142,,
01/2000,,1505272,,
02/2000,,1825778,,
03/2000,,2026438,,
04/2000,,1876126,,
05/2000,,1462484,,
06/2000,,1051334,,
07/2000,,771746,,
08/2000,,666538,,
