Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1989,,2145723,,
11/1989,,2125012,,
12/1989,,1888799,,
01/1990,,1895501,,
02/1990,,1935355,,
03/1990,,2091865,,
04/1990,,1871358,,
05/1990,,1727608,,
06/1990,,1692620,,
07/1990,,1446234,,
08/1990,,1187386,,
09/1990,,1163259,,
10/1990,,1173203,,
11/1990,,1155535,,
12/1990,,987094,,
01/1991,,921058,,
02/1991,,937977,,
03/1991,,1320262,,
04/1991,,1599577,,
05/1991,,1684654,,
06/1991,,1570271,,
07/1991,,1449685,,
08/1991,,1388101,,
09/1991,,1399251,,
10/1991,,1353409,,
11/1991,,1331087,,
12/1991,,1265734,,
01/1992,,1277365,,
02/1992,,1535990,,
03/1992,,1775113,,
04/1992,,2017514,,
05/1992,,1879385,,
06/1992,,1746733,,
07/1992,,1562893,,
08/1992,,1406168,,
09/1992,,1316867,,
10/1992,,1305700,,
11/1992,,1294128,,
12/1992,,1402048,,
01/1993,,2001921,,
02/1993,,2509679,,
03/1993,,2935879,,
04/1993,,3273870,,
05/1993,,3515972,,
06/1993,,3487573,,
07/1993,,3118405,,
08/1993,,2710315,,
09/1993,,2665948,,
10/1993,,2657674,,
11/1993,,2627062,,
12/1993,,2429938,,
01/1994,,2410233,,
02/1994,,2488895,,
03/1994,,2624062,,
04/1994,,2636169,,
05/1994,,2532082,,
06/1994,,2316197,,
07/1994,,2024329,,
08/1994,,1806248,,
09/1994,,1683158,,
10/1994,,1585818,,
11/1994,,1567602,,
12/1994,,1668244,,
01/1995,,2708222,,
02/1995,,2641052,,
03/1995,,2773891,,
04/1995,,3159172,,
05/1995,,3452965,,
06/1995,,3512826,,
07/1995,,3428021,,
08/1995,,3181820,,
09/1995,,2897173,,
10/1995,,2800576,,
11/1995,,2775753,,
12/1995,,2702081,,
01/1996,,2750028,,
02/1996,,2729463,,
03/1996,,2985016,,
04/1996,,3243172,,
05/1996,,3504341,,
06/1996,,3441019,,
07/1996,,3052191,,
08/1996,,2743821,,
09/1996,,2735516,,
10/1996,,2683587,,
11/1996,,2715028,,
12/1996,,2929103,,
01/1997,,2860051,,
02/1997,,2675667,,
03/1997,,2962255,,
04/1997,,3222432,,
05/1997,,3187389,,
06/1997,,2970340,,
07/1997,,2441723,,
08/1997,,2201798,,
09/1997,,2139728,,
10/1997,,2032123,,
11/1997,,2061894,,
12/1997,,2224172,,
01/1998,,2654963,,
02/1998,,2713849,,
03/1998,,2812374,,
04/1998,,3025675,,
05/1998,,3301917,,
06/1998,,3524003,,
07/1998,,3340440,,
08/1998,,3059166,,
09/1998,,2831485,,
10/1998,,2721845,,
11/1998,,2889913,,
12/1998,,2687877,,
01/1999,,2767779,,
02/1999,,2791483,,
03/1999,,2941141,,
04/1999,,3246589,,
05/1999,,3454519,,
06/1999,,3419375,,
07/1999,,2865217,,
08/1999,,2577812,,
09/1999,,2427271,,
10/1999,,2294809,,
11/1999,,2287827,,
12/1999,,2186332,,
01/2000,,2345401,,
02/2000,,2765788,,
03/2000,,2838641,,
04/2000,,3107588,,
05/2000,,3127657,,
06/2000,,2874068,,
07/2000,,2413006,,
08/2000,,2033621,,
09/2000,,1919813,,
10/2000,,1834794,,
11/2000,,1761851,,
12/2000,,1724943,,
01/2001,,1737247,,
02/2001,,1842156,,
03/2001,,2048313,r,
04/2001,,2188360,,
05/2001,,2118837,,
06/2001,,1918269,,
07/2001,,1730944,r,
08/2001,,1539412,,
09/2001,,1487684,,
10/2001,,1433405,r,
11/2001,,1416920,,
12/2001,,1595882,r,
01/2002,,1915916,,
02/2002,,2120160,,
03/2002,,2414816,,
04/2002,,2659095,r,
05/2002,,2639503,,
06/2002,,2353690,r,
07/2002,,1883126,,
08/2002,,1539412,,
09/2002,,1399662,,
10/2002,,1280304,,
11/2002,,1227434,r,
12/2002,,1624336,r,
01/2003,,2153511,r,
02/2003,,2259701,,
03/2003,,2634628,r,
04/2003,,3073436,r,
05/2003,,3512826,r,
06/2003,,3461356,r,
07/2003,,2850416,r,
08/2003,,2458192,r,
09/2003,,2283761,,
10/2003,,2185994,,
11/2003,,2072284,,
12/2003,,2248197,,
01/2004,,2458925,,
02/2004,,2862905,,
03/2004,,3066010,,
04/2004,,3048779,,
05/2004,,3041820,,
06/2004,,2757705,,
07/2004,,2265364,,
08/2004,,1885961,,
09/2004,,1752980,,
10/2004,,1665639,,
11/2004,,1604002,,
12/2004,,1644209,,
01/2005,,1814709,,
02/2005,,2023476,r,
03/2005,,2457576,,
04/2005,,2841886,,
05/2005,,3495082,,
06/2005,,3480532,,
07/2005,,3255959,,
08/2005,,3032324,,
09/2005,,2877345,,
10/2005,,2740131,,
11/2005,,2615801,,
12/2005,,2924550,,
01/2006,,2790281,,
02/2006,,3007906,,
03/2006,,2898959,,
04/2006,,3136502,,
05/2006,,3479595,,
06/2006,,3476472,,
07/2006,,3258938,,
08/2006,,3014386,,
09/2006,,2832969,,
10/2006,,2759691,,
11/2006,,2679694,,
12/2006,,2792688,,
01/2007,,2794559,,
02/2007,,3009314,,
03/2007,,3123325,,
04/2007,,3077733,,
05/2007,,2965185,,
06/2007,,2643746,,
07/2007,,2194341,,
08/2007,,1823397,,
09/2007,,1568222,,
10/2007,,1446394,,
11/2007,,1275358,,
12/2007,,1227133,,
01/2008,,1329605,,
02/2008,,1449003,,
03/2008,,1676803,,
