Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1987,,56202,,
11/1987,,54121,,
12/1987,,52652,,
01/1988,,55187,,
02/1988,,55250,,
03/1988,,55412,,
04/1988,,52000,,
05/1988,,48302,,
06/1988,,39000,,
07/1988,,28480,,
08/1988,,19448,,
09/1988,,15431,,
10/1988,,15431,,
11/1988,,14933,,
12/1988,,16006,,
01/1989,,18065,,
02/1989,,19880,,
03/1989,,38518,,
04/1989,,41401,,
05/1989,,37473,,
06/1989,,32643,,
07/1989,,27756,,
08/1989,,22191,,
09/1989,,21706,,
10/1989,,21662,,
11/1989,,19673,,
12/1989,,17397,,
01/1990,,21255,,
02/1990,,31507,,
03/1990,,42390,,
04/1990,,44369,,
05/1990,,40820,,
06/1990,,36053,,
07/1990,,30242,,
08/1990,,23592,,
09/1990,,20164,,
10/1990,,17135,,
11/1990,,15604,,
12/1990,,15275,,
01/1991,,15088,,
02/1991,,15438,,
03/1991,,54669,,
04/1991,,59050,,
05/1991,,54528,,
06/1991,,47795,,
07/1991,,40531,,
08/1991,,33453,,
09/1991,,27487,,
10/1991,,24046,,
11/1991,,20930,,
12/1991,,19265,,
01/1992,,20939,,
02/1992,,57212,,
03/1992,,70952,,
04/1992,,71944,,
05/1992,,62201,,
06/1992,,51690,,
07/1992,,41894,,
08/1992,,33232,,
09/1992,,29138,,
10/1992,,25449,,
11/1992,,22255,,
12/1992,,27311,,
01/1993,,116719,,
02/1993,,160193,,
03/1993,,197689,,
04/1993,,212138,,
05/1993,,202465,,
06/1993,,189909,,
07/1993,,171112,,
08/1993,,152387,,
09/1993,,137815,,
10/1993,,128803,,
11/1993,,122816,,
12/1993,,119265,,
01/1994,,117792,,
02/1994,,128623,,
03/1994,,127726,,
04/1994,,118773,,
05/1994,,107469,,
06/1994,,90339,,
07/1994,,71484,,
08/1994,,54106,,
09/1994,,40938,,
10/1994,,34062,,
11/1994,,30440,,
12/1994,,30860,,
01/1995,,136537,,
02/1995,,147967,,
03/1995,,248664,,
04/1995,,271524,,
05/1995,,297103,,
06/1995,,285392,,
07/1995,,266329,,
08/1995,,243081,,
09/1995,,222513,,
10/1995,,206039,,
11/1995,,184202,,
12/1995,,181430,,
01/1996,,190195,,
02/1996,,194357,,
03/1996,,221335,,
04/1996,,223834,,
05/1996,,218577,,
06/1996,,202696,,
07/1996,,182020,,
08/1996,,160831,,
09/1996,,148384,,
10/1996,,143536,,
11/1996,,144028,,
12/1996,,172135,,
01/1997,,171894,,
02/1997,,177944,,
03/1997,,180377,,
04/1997,,173101,,
05/1997,,162783,,
06/1997,,150784,,
07/1997,,136749,,
08/1997,,123468,,
09/1997,,113006,,
10/1997,,108097,,
11/1997,,105344,,
12/1997,,105138,,
01/1998,,169524,,
02/1998,,167854,,
03/1998,,214307,,
04/1998,,241188,,
05/1998,,239665,,
06/1998,,237859,,
07/1998,,222652,,
08/1998,,205042,,
09/1998,,191247,,
10/1998,,185581,,
11/1998,,185675,,
12/1998,,182331,,
01/1999,,181927,,
02/1999,,193939,,
03/1999,,203058,,
04/1999,,211430,,
05/1999,,204479,,
06/1999,,192847,,
07/1999,,177791,,
08/1999,,164396,,
09/1999,,154255,,
10/1999,,147606,,
11/1999,,147884,,
12/1999,,147662,,
01/2000,,178497,,
02/2000,,205906,,
03/2000,,198959,,
04/2000,,201741,,
05/2000,,201052,,
06/2000,,190386,,
07/2000,,177545,,
08/2000,,164425,,
09/2000,,155678,,
10/2000,,151908,,
11/2000,,150840,,
12/2000,,150364,,
01/2001,,153687,,
02/2001,,169494,,
03/2001,,184014,,
04/2001,,183889,,
05/2001,,173555,,
06/2001,,160309,,
07/2001,,146859,,
08/2001,,133476,,
09/2001,,123242,,
10/2001,,119216,,
11/2001,,116743,,
12/2001,,131960,,
01/2002,,147579,,
02/2002,,158545,,
03/2002,,181678,,
04/2002,,180223,,
05/2002,,174130,,
06/2002,,163427,,
07/2002,,150028,,
08/2002,,138055,,
09/2002,,128572,,
10/2002,,124121,,
11/2002,,122116,,
12/2002,,134501,,
01/2003,,139018,,
02/2003,,141362,,
03/2003,,144959,,
04/2003,,158315,,
05/2003,,158257,,
06/2003,,146804,,
07/2003,,132508,,
08/2003,,118675,,
09/2003,,108611,,
10/2003,,100584,,
11/2003,,98892,,
12/2003,,105275,,
01/2004,,116160,,
02/2004,,137735,,
03/2004,,146528,,
04/2004,,140013,,
05/2004,,129705,,
06/2004,,117915,,
07/2004,,105046,,
08/2004,,93162,,
09/2004,,83850,,
10/2004,,81610,,
11/2004,,80208,,
12/2004,,95426,,
01/2005,,166460,,
02/2005,,194035,,
03/2005,,237391,,
04/2005,,249256,,
05/2005,,253947,,
06/2005,,246304,,
07/2005,,232490,,
08/2005,,218646,,
09/2005,,206172,,
10/2005,,199318,,
11/2005,,174282,,
12/2005,,193136,,
01/2006,,181275,,
02/2006,,191726,,
03/2006,,255072,,
04/2006,,262455,,
05/2006,,262990,,
06/2006,,247888,,
07/2006,,227857,,
08/2006,,206937,,
09/2006,,192975,,
10/2006,,189210,,
11/2006,,175803,,
12/2006,,171954,,
01/2007,,169972,,
02/2007,,187849,,
03/2007,,191471,,
04/2007,,187849,,
05/2007,,178374,,
06/2007,,165751,,
07/2007,,151711,,
08/2007,,136431,,
09/2007,,127113,,
10/2007,,123217,,
11/2007,,120574,,
12/2007,,119093,,
01/2008,,138563,,
02/2008,,156506,,
03/2008,,157768,,
04/2008,,150000,,
05/2008,,139314,,
06/2008,,126348,,
07/2008,,111838,,
08/2008,,96975,,
09/2008,,87379,,
10/2008,,83167,,
11/2008,,80051,,
12/2008,,79562,,
01/2009,,81472,,
02/2009,,94107,,
03/2009,,119117,,
04/2009,,114132,,
05/2009,,107075,,
06/2009,,95122,,
07/2009,,80858,,
08/2009,,69155,,
09/2009,,61157,,
10/2009,,58804,,
11/2009,,55900,,
12/2009,,56730,,
01/2010,,82806,,
02/2010,,99914,,
03/2010,,121991,,
04/2010,,145289,,
05/2010,,147717,,
06/2010,,139932,,
07/2010,,128469,,
08/2010,,117353,,
09/2010,,108938,,
10/2010,,105413,,
11/2010,,109641,,
12/2010,,166194,,
01/2011,,182424,,
02/2011,,217411,,
03/2011,,225578,,
04/2011,,241806,,
05/2011,,243044,,
06/2011,,234951,,
07/2011,,217891,,
08/2011,,202037,,
09/2011,,189655,,
10/2011,,186146,,
11/2011,,172829,,
12/2011,,167171,,
01/2012,,168182,,
02/2012,,168509,,
03/2012,,183514,,
04/2012,,200135,,
05/2012,,191630,,
06/2012,,179420,,
07/2012,,165397,,
08/2012,,151542,,
09/2012,,141335,,
10/2012,,136192,,
11/2012,,134554,,
12/2012,,162374,,
01/2013,,166283,,
02/2013,,167617,,
03/2013,,165308,,
04/2013,,159700,,
05/2013,,149107,,
06/2013,,136510,,
07/2013,,122966,,
08/2013,,111032,,
09/2013,,102880,,
10/2013,,98958,,
11/2013,,96624,,
12/2013,,94668,,
01/2014,,92841,,
02/2014,,96624,,
03/2014,,100517,,
04/2014,,97523,,
