Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1998,,254414,,
01/1999,,260532,,
02/1999,,260570,,
03/1999,,268092,,
04/1999,,276744,,
05/1999,,278616,,
06/1999,,263084,,
07/1999,,243920,,
08/1999,,237584,,
09/1999,,228222,,
10/1999,,217852,,
11/1999,,217274,,
12/1999,,217036,,
01/2000,,228052,,
02/2000,,267191,,
03/2000,,266192,,
04/2000,,252779,,
05/2000,,254029,,
06/2000,,241652,,
07/2000,,226250,,
08/2000,,218464,,
09/2000,,214180,,
10/2000,,209216,,
11/2000,,208940,,
12/2000,,208268,,
01/2001,,212004,,
02/2001,,227508,,
03/2001,,248528,,
04/2001,,233012,,
05/2001,,196982,,
06/2001,,158610,,
07/2001,,126890,,
08/2001,,105363,,
09/2001,,87340,,
10/2001,,84730,,
11/2001,,90100,,
12/2001,,133185,,
01/2002,,164213,e,
02/2002,,169324,,
03/2002,,174790,,
04/2002,,148830,,
05/2002,,139825,,
06/2002,,117250,,
07/2002,,94147,,
08/2002,,83350,,
09/2002,,73640,,
10/2002,,70968,,
11/2002,,70483,,
12/2002,,122934,,
01/2003,,156900,,
02/2003,,165690,,
03/2003,,178154,,
04/2003,,196784,,
05/2003,,195761,,
06/2003,,178530,,
07/2003,,166950,,
08/2003,,159780,,
09/2003,,151390,,
10/2003,,148820,e,
11/2003,,148080,,
12/2003,,186360,,
01/2004,,212174,,
02/2004,,266414,,
03/2004,,269004,,
04/2004,,258708,,
05/2004,,241832,,
06/2004,,221218,,
07/2004,,198401,,
08/2004,,188897,,
09/2004,,184476,,
10/2004,,179890,,
11/2004,,180162,,
12/2004,,195662,,
01/2005,,220100,,
02/2005,,234092,,
03/2005,,263676,,
04/2005,,271964,,
05/2005,,272260,,
06/2005,,259962,,
07/2005,,244532,,
08/2005,,227372,,
09/2005,,216730,,
10/2005,,208434,,
11/2005,,208136,,
12/2005,,257948,,
01/2006,,266340,,
02/2006,,268671,,
03/2006,,279942,,
04/2006,,296140,,
05/2006,,287645,,
06/2006,,273300,,
07/2006,,255630,,
08/2006,,237548,,
09/2006,,221388,,
10/2006,,214418,,
11/2006,,214622,,
12/2006,,220096,,
01/2007,,220100,,
02/2007,,236396,,
03/2007,,231644,,
04/2007,,208468,,
05/2007,,172960,,
06/2007,,138852,,
07/2007,,111350,,
08/2007,,83961,,
09/2007,,67610,,
10/2007,,61589,,
11/2007,,60302,,
12/2007,,61651,,
01/2008,,93426,,
02/2008,,121556,,
03/2008,,125050,,
04/2008,,100624,,
05/2008,,83858,,
06/2008,,61123,,
07/2008,,40310,,
08/2008,,28418,,
09/2008,,20710,,
10/2008,,19750,,
11/2008,,19509,,
12/2008,,19648,,
01/2009,,19670,,
02/2009,,31712,,
03/2009,,47564,,
04/2009,,48965,,
05/2009,,48991,,
06/2009,,36394,,
07/2009,,16374,,
08/2009,,15168,,
09/2009,,14164,,
10/2009,,13401,,
11/2009,,12661,,
12/2009,,13078,,
01/2010,,45956,,
02/2010,,62100,,
03/2010,,76170,,
04/2010,,95337,,
05/2010,,99227,,
06/2010,,94098,,
07/2010,,86995,,
08/2010,,79760,,
09/2010,,75982,,
10/2010,,76221,,
11/2010,,77360,,
12/2010,,99184,,
01/2011,,108420,,
02/2011,,123948,,
03/2011,,177800,,
04/2011,,192527,,
05/2011,,191933,,
06/2011,,190382,,
07/2011,,183453,,
08/2011,,173110,,
09/2011,,163380,,
10/2011,,161430,,
11/2011,,160410,,
12/2011,,159930,,
01/2012,,164040,,
02/2012,,165660,,
03/2012,,183816,,
04/2012,,196619,,
05/2012,,167580,,
06/2012,,136472,,
07/2012,,111225,,
08/2012,,84392,,
09/2012,,65092,,
10/2012,,59217,,
11/2012,,65685,,
12/2012,,106524,,
01/2013,,113700,,
02/2013,,115525,,
03/2013,,104148,,
04/2013,,87920,,
05/2013,,68047,,
06/2013,,53364,,
07/2013,,36735,,
08/2013,,23597,,
09/2013,,16610,,
10/2013,,15724,,
11/2013,,14815,,
12/2013,,14115,,
01/2014,,13338,,
02/2014,,17465,,
03/2014,,24097,,
04/2014,,27934,,
05/2014,,27706,,
06/2014,,26936,,
07/2014,,25983,,
08/2014,,24969,,
09/2014,,24264,,
10/2014,,23710,,
11/2014,,23477,,
12/2014,,51908,,
01/2015,,54050,,
02/2015,,68748,,
03/2015,,69735,,
04/2015,,69616,,
05/2015,,50438,,
06/2015,,32082,,
07/2015,,18569,,
08/2015,,16904,,
09/2015,,16086,,
10/2015,,15130,,
11/2015,,14346,,
12/2015,,19425,,
01/2016,,--,,
