Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
01/2000,,70002,,
02/2000,,111210,,
03/2000,,122655,,
04/2000,,128713,,
05/2000,,128811,,
06/2000,,118798,,
07/2000,,102293,,
08/2000,,85564,,
09/2000,,80155,,
10/2000,,71160,,
11/2000,,71185,,
12/2000,,71460,,
01/2001,,73461,,
02/2001,,78338,,
03/2001,,80326,,
04/2001,,77598,,
05/2001,,77171,,
06/2001,,58758,,
07/2001,,39198,,
08/2001,,23401,,
09/2001,,15598,,
10/2001,,15408,,
11/2001,,15536,,
12/2001,,21477,,
01/2002,,26812,,
02/2002,,29158,,
03/2002,,32580,,
04/2002,,33830,,
05/2002,,34202,,
06/2002,,26423,,
07/2002,,16307,,
08/2002,,10492,,
09/2002,,10262,,
10/2002,,10092,,
11/2002,,10865,,
12/2002,,16770,,
01/2003,,19845,,
02/2003,,21630,,
03/2003,,24383,,
04/2003,,28611,,
05/2003,,31968,,
06/2003,,26415,,
07/2003,,18982,,
08/2003,,17901,,
09/2003,,17552,,
10/2003,,17220,,
11/2003,,17091,,
12/2003,,17980,,
01/2004,,20964,,
02/2004,,28770,,
03/2004,,32455,,
04/2004,,32937,,
05/2004,,32589,,
06/2004,,25639,,
07/2004,,11634,,
08/2004,,10815,,
09/2004,,10541,,
10/2004,,11447,,
11/2004,,12073,,
12/2004,,20985,,
01/2005,,70487,,
02/2005,,93178,,
03/2005,,127845,,
04/2005,,134285,,
05/2005,,139145,,
06/2005,,132914,,
07/2005,,118814,,
08/2005,,104042,,
09/2005,,98419,,
10/2005,,91724,,
11/2005,,91571,,
12/2005,,96957,,
01/2006,,111179,,
02/2006,,115051,,
03/2006,,138462,,
04/2006,,141308,,
05/2006,,142846,,
06/2006,,137051,,
07/2006,,120156,,
08/2006,,102045,,
09/2006,,93473,,
10/2006,,83896,,
11/2006,,84111,,
12/2006,,85038,,
01/2007,,85808,,
02/2007,,89163,,
03/2007,,91237,,
04/2007,,91794,,
05/2007,,83348,,
06/2007,,65293,,
07/2007,,32839,,
08/2007,,16490,,
09/2007,,16175,,
10/2007,,15956,,
11/2007,,15845,,
12/2007,,16118,,
01/2008,,22395,,
02/2008,,35203,,
03/2008,,38464,,
04/2008,,39150,,
05/2008,,39140,,
06/2008,,29234,,
07/2008,,17084,,
08/2008,,11313,,
09/2008,,11027,,
10/2008,,10865,,
11/2008,,10885,,
12/2008,,11292,,
01/2009,,14126,,
02/2009,,20628,,
03/2009,,27293,,
04/2009,,29073,,
05/2009,,29924,,
06/2009,,28812,,
07/2009,,17000,,
08/2009,,13189,,
09/2009,,12893,,
10/2009,,13284,,
11/2009,,13307,,
12/2009,,16408,,
01/2010,,24827,,
02/2010,,36779,,
03/2010,,50472,,
04/2010,,62226,,
05/2010,,66455,,
06/2010,,62711,,
07/2010,,49427,,
08/2010,,45827,,
09/2010,,45320,,
10/2010,,45278,,
11/2010,,46170,,
12/2010,,77417,,
01/2011,,98448,,
02/2011,,120584,,
03/2011,,127649,,
04/2011,,135496,,
05/2011,,143332,,
06/2011,,142690,,
07/2011,,135614,,
08/2011,,125179,,
09/2011,,117856,,
10/2011,,115051,,
11/2011,,107403,,
12/2011,,100413,,
01/2012,,102366,,
02/2012,,103306,,
03/2012,,107208,,
04/2012,,112524,,
05/2012,,110237,,
06/2012,,93501,,
07/2012,,63424,,
08/2012,,34660,,
09/2012,,34175,,
10/2012,,33803,,
11/2012,,33830,,
12/2012,,44825,,
01/2013,,47291,,
02/2013,,48593,,
03/2013,,49631,,
04/2013,,50019,,
05/2013,,49599,,
06/2013,,37975,,
07/2013,,15826,,
08/2013,,13493,,
09/2013,,13122,,
10/2013,,12943,,
11/2013,,12866,,
12/2013,,12827,,
01/2014,,12916,,
02/2014,,13245,,
03/2014,,13545,,
04/2014,,13699,,
05/2014,,13397,,
06/2014,,12977,,
07/2014,,12575,,
08/2014,,12190,,
09/2014,,11897,,
10/2014,,11676,,
11/2014,,11660,,
12/2014,,11818,,
01/2015,,11913,,
02/2015,,12185,,
03/2015,,12174,,
04/2015,,12073,,
05/2015,,11818,,
06/2015,,11660,,
07/2015,,11261,,
08/2015,,10895,,
09/2015,,10625,,
10/2015,,10462,,
11/2015,,10462,,
12/2015,,12893,,
01/2016,,--,,
