Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
09/1976,,16843,,1.02,,
10/1976,,14724,,1.11,,
11/1976,,11962,,0.43,,
12/1976,,12239,,0.42,,
01/1977,,13700,,0.91,,
02/1977,,16733,,0.27,,
03/1977,,20720,,0.58,,
04/1977,,33317,,0.00,,
05/1977,,49712,,2.07,,
06/1977,,56695,,0.92,,
07/1977,,29469,,0.00,,
08/1977,,14062,,0.17,,
09/1977,,9948,,0.05,,
10/1977,,8994,,0.45,,
11/1977,,10201,,1.05,,
12/1977,,19010,,4.58,,
01/1978,,15216,,4.45,,
02/1978,,48202,,5.69,,
03/1978,,91626,,6.85,,
04/1978,,105295,,3.17,,
05/1978,,108438,,0.00,,
06/1978,,131316,,0.00,,
07/1978,,87404,,0.00,,
08/1978,,17699,,0.00,,
09/1978,,22185,,2.60,,
10/1978,,11141,,0.00,,
11/1978,,14825,,0.67,,
12/1978,,14656,,2.29,,
01/1979,,13413,,2.44,,
02/1979,,20624,,3.46,,
03/1979,,54789,,3.79,,
04/1979,,88790,,--,,
05/1979,,142658,,--,,
06/1979,,112304,,0.00,,
07/1979,,35197,,0.00,,
08/1979,,8837,,0.00,,
09/1979,,9237,,--,,
10/1979,,12485,,0.17,,
11/1979,,15138,,1.45,,
12/1979,,15864,,0.50,,
01/1980,,77001,,5.50,,
02/1980,,78373,,4.08,,
03/1980,,63368,,2.16,,
04/1980,,73266,,1.06,,
05/1980,,114411,,0.55,,
06/1980,,144210,,0.00,,
07/1980,,106997,,0.00,,
08/1980,,--,,0.00,,
09/1980,,12104,,0.00,,
10/1980,,12336,,--,,
11/1980,,15780,,--,,
12/1980,,14855,,--,,
01/1981,,13963,,--,,
02/1981,,19527,,--,,
03/1981,,41347,,--,,
04/1981,,81790,,--,,
05/1981,,128292,,--,,
06/1981,,91710,,--,,
07/1981,,27953,,--,,
08/1981,,11185,,--,,
09/1981,,7702,,--,,
10/1981,,9597,,--,,
11/1981,,18415,,--,,
12/1981,,15733,,--,,
01/1982,,10138,,--,,
02/1982,,26575,,--,,
03/1982,,61240,,--,,
04/1982,,133279,,--,,
05/1982,,138065,,--,,
06/1982,,143328,,--,,
