Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1992,,507996,,
11/1992,,484227,,
12/1992,,516076,,
01/1993,,673329,,
02/1993,,701789,,
03/1993,,809569,,
04/1993,,823051,,
05/1993,,924786,,
06/1993,,931899,,
07/1993,,854133,,
08/1993,,755379,,
09/1993,,705263,,
10/1993,,658673,,
11/1993,,592116,,
12/1993,,555310,,
01/1994,,518681,,
02/1994,,546479,,
03/1994,,604443,,
04/1994,,645924,,
05/1994,,669844,,
06/1994,,634461,,
07/1994,,587056,,
08/1994,,531499,,
09/1994,,506599,,
10/1994,,484196,,
11/1994,,477470,,
12/1994,,530560,,
01/1995,,783870,,
02/1995,,729006,,
03/1995,,783491,,
04/1995,,879691,,
05/1995,,946806,,
06/1995,,970583,,
07/1995,,917851,,
08/1995,,829936,,
09/1995,,791168,,
10/1995,,732645,,
11/1995,,682170,,
12/1995,,682706,,
01/1996,,739717,,
02/1996,,762386,,
03/1996,,796356,,
04/1996,,902620,,
05/1996,,963028,,
06/1996,,942024,,
07/1996,,854486,,
08/1996,,734007,,
09/1996,,684200,,
10/1996,,614098,,
11/1996,,607213,,
12/1996,,838825,,
01/1997,,790412,,
02/1997,,714488,,
03/1997,,715434,,
04/1997,,801269,,
05/1997,,864127,,
06/1997,,861143,,
07/1997,,766503,,
08/1997,,638488,,
09/1997,,612631,,
10/1997,,563755,,
11/1997,,563552,,
12/1997,,548378,,
01/1998,,695377,,
02/1998,,755338,,
03/1998,,788268,,
04/1998,,839218,,
05/1998,,949750,,
06/1998,,961446,,
07/1998,,916737,,
08/1998,,780068,,
09/1998,,708904,,
10/1998,,659384,,
11/1998,,648290,,
12/1998,,634425,,
01/1999,,693442,,
02/1999,,794709,,
03/1999,,762263,,
04/1999,,781652,,
05/1999,,894114,,
06/1999,,915949,,
07/1999,,811449,,
08/1999,,673443,,
09/1999,,613525,,
10/1999,,566066,r,
11/1999,,540244,,
12/1999,,510033,,
01/2000,,604763,r,
02/2000,,781986,,
03/2000,,786129,r,
04/2000,,843819,,
05/2000,,933495,r,
06/2000,,900694,r,
07/2000,,833632,r,
08/2000,,748130,r,
09/2000,,702880,r,
10/2000,,663886,r,
11/2000,,623198,r,
12/2000,,601363,,
01/2001,,582232,,
02/2001,,612810,,
03/2001,,702022,r,
04/2001,,762304,r,
05/2001,,799276,r,
06/2001,,765926,,
07/2001,,659646,r,
08/2001,,563042,r,
09/2001,,538363,r,
10/2001,,504067,r,
11/2001,,507774,r,
12/2001,,597978,r,
01/2002,,658785,r,
02/2002,,704012,r,
03/2002,,758898,r,
04/2002,,810636,r,
05/2002,,816850,r,
06/2002,,751871,r,
07/2002,,647106,r,
08/2002,,559962,r,
09/2002,,532088,r,
10/2002,,494695,r,
11/2002,,492073,r,
12/2002,,615746,r,
01/2003,,729845,r,
02/2003,,732725,r,
03/2003,,783240,r,
04/2003,,895619,r,
05/2003,,961925,r,
06/2003,,911922,r,
07/2003,,789276,r,
08/2003,,667426,r,
09/2003,,638488,r,
10/2003,,606395,,
11/2003,,582890,,
12/2003,,630559,,
01/2004,,610559,,
02/2004,,684929,,
03/2004,,755583,,
04/2004,,781902,,
05/2004,,759636,,
06/2004,,693016,,
07/2004,,595306,,
08/2004,,517296,,
09/2004,,487350,,
10/2004,,457150,r,
11/2004,,440541,r,
12/2004,,458491,r,
