Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1998,,295828,,
11/1998,,283352,,
12/1998,,270710,,
01/1999,,247657,,
02/1999,,228494,,
03/1999,,268741,,
04/1999,,297591,,
05/1999,,296571,,
06/1999,,286171,,
07/1999,,284346,,
08/1999,,283249,,
09/1999,,288380,,
10/1999,,271737,,
11/1999,,285258,,
12/1999,,276235,,
01/2000,,287775,,
02/2000,,291228,,
03/2000,,298997,,
04/2000,,313403,,
05/2000,,310734,,
06/2000,,307710,,
07/2000,,300985,,
08/2000,,295329,r,
09/2000,,284926,,
10/2000,,270309,,
11/2000,,290829,,
12/2000,,288568,,
01/2001,,303539,,
02/2001,,304811,,
03/2001,,293164,,
04/2001,,257591,,
05/2001,,286151,,
06/2001,,276377,,
07/2001,,269404,,
08/2001,,270027,,
09/2001,,287024,r,
10/2001,,275157,,
11/2001,,285175,,
12/2001,,281373,,
01/2002,,274791,,
02/2002,,269042,,
03/2002,,264445,,
04/2002,,263372,,
05/2002,,291754,,
06/2002,,304188,r,
07/2002,,315513,,
08/2002,,314567,,
09/2002,,309623,,
10/2002,,277009,,
11/2002,,290557,,
12/2002,,315953,,
01/2003,,280386,,
02/2003,,248734,,
03/2003,,279360,,
04/2003,,298400,,
05/2003,,318316,,
06/2003,,314523,,
07/2003,,303539,,
08/2003,,319114,,
09/2003,,314325,,
10/2003,,283290,r,
11/2003,,262777,r,
12/2003,,287108,r,
01/2004,,302400,,
02/2004,,311630,,
03/2004,,311586,,
04/2004,,309775,,
05/2004,,282176,,
06/2004,,277601,,
07/2004,,291712,,
08/2004,,297017,,
09/2004,,297697,,
10/2004,,283290,,
11/2004,,262777,,
12/2004,,287108,,
01/2005,,286338,,
02/2005,,307970,,
03/2005,,289321,,
04/2005,,317719,,
05/2005,,316438,,
06/2005,,307667,,
07/2005,,314128,,
08/2005,,314303,,
09/2005,,306410,,
10/2005,,309209,,
11/2005,,309623,,
12/2005,,269163,,
01/2006,,285548,,
02/2006,,273049,,
03/2006,,317719,,
04/2006,,316725,,
05/2006,,316438,,
06/2006,,311870,,
07/2006,,307515,,
08/2006,,294643,,
09/2006,,265740,,
10/2006,,232892,,
11/2006,,204629,,
12/2006,,158553,,
01/2007,,181988,,
02/2007,,222160,,
03/2007,,267078,,
04/2007,,300145,r,
05/2007,,308903,r,
06/2007,,269786,,
07/2007,,264724,,
08/2007,,296189,,
09/2007,,313096,,
10/2007,,296889,,
11/2007,,264167,,
12/2007,,259359,,
01/2008,,306323,,
02/2008,,312242,,
03/2008,,269625,,
04/2008,,288526,,
05/2008,,298421,,
06/2008,,297804,,
07/2008,,305869,,
08/2008,,296635,,
09/2008,,267699,,
10/2008,,228972,,
11/2008,,237071,,
12/2008,,246316,,
01/2009,,253180,,
02/2009,,275177,,
03/2009,,280406,,
04/2009,,255107,,
05/2009,,256221,,
06/2009,,252074,,
07/2009,,237503,,
08/2009,,214626,,
09/2009,,199640,,
10/2009,,208050,,
11/2009,,223123,,
12/2009,,258160,,
01/2010,,263392,,
02/2010,,280345,,
03/2010,,269525,,
04/2010,,259891,,
05/2010,,247005,,
06/2010,,249928,,
07/2010,,255517,,
08/2010,,258868,,
09/2010,,259734,,
10/2010,,285714,,
11/2010,,279421,,
12/2010,,295616,,
01/2011,,288965,,
02/2011,,292743,,
03/2011,,309949,,
04/2011,,313798,,
05/2011,,309340,,
06/2011,,309862,,
