Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
10/1976,,0,,
11/1976,,0,,
12/1976,,0,,
01/1977,,0,,
02/1977,,0,,
03/1977,,0,,
04/1977,,0,,
05/1977,,0,,
06/1977,,0,,
07/1977,,0,,
08/1977,,0,,
09/1977,,0,,
10/1977,,0,,
11/1977,,0,,
12/1977,,0,,
01/1978,,0,,
02/1978,,0,,
03/1978,,0,,
04/1978,,0,,
05/1978,,0,,
06/1978,,0,,
07/1978,,0,,
08/1978,,0,,
09/1978,,0,,
10/1978,,0,,
11/1978,,0,,
12/1978,,0,,
01/1979,,0,,
02/1979,,0,,
03/1979,,0,,
04/1979,,0,,
05/1979,,0,,
06/1979,,0,,
07/1979,,0,,
08/1979,,0,,
09/1979,,0,,
10/1979,,0,,
11/1979,,0,,
12/1979,,0,,
01/1980,,0,,
02/1980,,0,,
03/1980,,0,,
04/1980,,0,,
05/1980,,0,,
06/1980,,0,,
07/1980,,0,,
08/1980,,0,,
09/1980,,0,,
10/1980,,0,,
11/1980,,0,,
12/1980,,0,,
01/1981,,0,,
02/1981,,0,,
03/1981,,0,,
04/1981,,0,,
05/1981,,0,,
06/1981,,0,,
07/1981,,0,,
08/1981,,0,,
09/1981,,0,,
10/1981,,0,,
11/1981,,0,,
12/1981,,0,,
01/1982,,0,,
02/1982,,0,,
03/1982,,0,,
04/1982,,0,,
05/1982,,0,,
06/1982,,0,,
07/1982,,0,,
08/1982,,0,,
09/1982,,0,,
10/1982,,0,,
11/1982,,0,,
12/1982,,0,,
01/1983,,0,,
02/1983,,0,,
03/1983,,0,,
04/1983,,0,,
05/1983,,0,,
06/1983,,0,,
07/1983,,0,,
08/1983,,0,,
09/1983,,0,,
10/1983,,633,,
11/1983,,22447,,
12/1983,,36392,,
01/1984,,19172,,
02/1984,,29563,,
03/1984,,32448,,
04/1984,,22871,,
05/1984,,14448,,
06/1984,,12427,,
07/1984,,10808,,
08/1984,,7863,,
09/1984,,4566,,
10/1984,,3663,,
11/1984,,34869,,
12/1984,,44261,,
01/1985,,43731,,
02/1985,,54051,,
03/1985,,69512,,
04/1985,,73862,,
05/1985,,73311,,
06/1985,,71722,,
07/1985,,69658,,
08/1985,,66809,,
09/1985,,64532,,
10/1985,,61911,,
11/1985,,62161,,
12/1985,,70953,,
01/1986,,102369,,
02/1986,,258011,,
03/1986,,245569,,
04/1986,,245595,,
05/1986,,241052,,
06/1986,,234793,,
07/1986,,226862,,
08/1986,,218989,,
09/1986,,213124,,
10/1986,,206990,,
11/1986,,178270,,
12/1986,,171020,,
01/1987,,174950,,
02/1987,,193880,,
03/1987,,192170,,
04/1987,,188080,,
05/1987,,181050,,
06/1987,,168876,,
07/1987,,150944,,
08/1987,,139025,,
09/1987,,132830,,
10/1987,,126688,,
11/1987,,121480,,
12/1987,,160435,,
01/1988,,191541,,
02/1988,,193313,,
03/1988,,190805,,
04/1988,,188075,,
05/1988,,183628,,
06/1988,,176572,,
07/1988,,165125,,
08/1988,,156342,,
09/1988,,148067,,
10/1988,,148067,,
11/1988,,138792,,
12/1988,,138864,,
01/1989,,139730,,
02/1989,,136803,,
03/1989,,192191,,
04/1989,,193246,,
05/1989,,188739,,
06/1989,,182501,,
07/1989,,174968,,
08/1989,,167667,,
09/1989,,161390,,
10/1989,,157849,,
11/1989,,152090,,
12/1989,,145487,,
01/1990,,157771,,--,,
02/1990,,165915,,--,,
03/1990,,165936,,--,,
04/1990,,164983,,--,,
05/1990,,167872,,--,,
06/1990,,163612,,--,,
07/1990,,156518,,--,,
08/1990,,149501,,
09/1990,,145655,,
10/1990,,142498,,
11/1990,,137053,,
12/1990,,132028,,
01/1991,,127129,,--,,
02/1991,,125356,,--,,
03/1991,,197916,,--,,
04/1991,,201804,,--,,
05/1991,,200902,,--,,
06/1991,,194373,,--,,
07/1991,,187700,,--,,
08/1991,,180603,,
09/1991,,177186,,
10/1991,,173646,,
11/1991,,168753,,
12/1991,,167422,,
01/1992,,168077,,--,,
02/1992,,216407,,--,,
03/1992,,240505,,--,,
04/1992,,241523,,--,,
05/1992,,239829,,--,,
06/1992,,232927,,--,,
07/1992,,225537,,--,,
08/1992,,218379,,
09/1992,,211638,,
10/1992,,206352,,
11/1992,,199865,,
12/1992,,228418,,
01/1993,,249582,,--,,
02/1993,,251483,,--,,
03/1993,,246284,,--,,
04/1993,,245728,,--,,
05/1993,,246019,,--,,
06/1993,,242151,,--,,
07/1993,,233770,,--,,
08/1993,,225088,,
09/1993,,218208,,
10/1993,,211113,,
11/1993,,203568,,
12/1993,,206094,,
01/1994,,214207,,--,,
02/1994,,244225,,--,,
03/1994,,243147,,--,,
04/1994,,242648,,--,,
05/1994,,240453,,--,,
06/1994,,231249,,--,,
07/1994,,220830,,--,,
08/1994,,210994,,
09/1994,,205180,,
10/1994,,198099,,
11/1994,,196230,,
12/1994,,199727,,
01/1995,,319610,,--,,
02/1995,,245808,,--,,
03/1995,,288206,,--,,
04/1995,,246761,,--,,
05/1995,,244857,,--,,
06/1995,,240375,,--,,
07/1995,,234589,,--,,
08/1995,,226511,,
09/1995,,219088,,
10/1995,,211662,,
11/1995,,204782,,
12/1995,,222803,,
01/1996,,264708,,--,,
02/1996,,258722,,--,,
03/1996,,245385,,--,,
04/1996,,246098,,--,,
05/1996,,243488,,--,,
06/1996,,238427,,--,,
07/1996,,232189,,--,,
08/1996,,224640,,
09/1996,,216869,,
10/1996,,209447,,
11/1996,,205859,,
12/1996,,295124,,
01/1997,,264569,,--,,
02/1997,,243304,,--,,
03/1997,,243567,,--,,
04/1997,,239673,,--,,
05/1997,,235024,,--,,
06/1997,,227740,,--,,
07/1997,,217306,,--,,
08/1997,,207884,,
09/1997,,201364,,
10/1997,,196321,,
11/1997,,202801,,
12/1997,,211304,,
