Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1993,,170435,,
11/1993,,169597,,
12/1993,,169452,,
01/1994,,169135,,
02/1994,,170030,,
03/1994,,164933,,
04/1994,,136767,,
05/1994,,80293,,
06/1994,,75768,,
07/1994,,73713,,
08/1994,,69095,,
09/1994,,67330,,
10/1994,,68843,,
11/1994,,67677,,
12/1994,,68678,,
01/1995,,74303,,
02/1995,,80400,,
03/1995,,112747,,
04/1995,,145604,,
05/1995,,197681,,
06/1995,,230935,,
07/1995,,227706,,
08/1995,,204435,,
09/1995,,202750,,
10/1995,,201460,,
11/1995,,200881,,
12/1995,,203689,,
01/1996,,204013,,
02/1996,,204468,,
03/1996,,203884,,
04/1996,,215520,,
05/1996,,238501,,
06/1996,,224400,,
07/1996,,204955,,
08/1996,,202298,,
09/1996,,200527,,
10/1996,,199886,,
11/1996,,203203,,
12/1996,,206063,,
01/1997,,204500,,
02/1997,,193727,,
03/1997,,204176,,
04/1997,,200656,,
05/1997,,198638,,
06/1997,,193097,,
07/1997,,185611,,
08/1997,,182713,,
09/1997,,181502,,
10/1997,,181351,,
11/1997,,182319,,
12/1997,,183229,,
01/1998,,187425,,
02/1998,,192437,,
03/1998,,202977,,
04/1998,,212152,,
05/1998,,212617,,
06/1998,,230343,,
07/1998,,224881,,
08/1998,,206586,,
09/1998,,206063,,
10/1998,,204695,,
11/1998,,205835,,
12/1998,,204176,,
01/1999,,204663,,
02/1999,,204208,,
03/1999,,204663,,
04/1999,,208322,,
05/1999,,219968,,
06/1999,,223544,,
07/1999,,210529,,
08/1999,,205086,,
09/1999,,200752,,
10/1999,,199139,r,
11/1999,,199386,r,
12/1999,,199545,r,
01/2000,,203158,e,
02/2000,,202461,r,
03/2000,,204061,r,
04/2000,,215947,r,
05/2000,,217404,r,
06/2000,,222269,r,
07/2000,,216483,r,
08/2000,,209512,r,
09/2000,,205819,r,
10/2000,,203500,r,
11/2000,,202900,r,
12/2000,,201000,r,
