Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
01/1966,,609341,,1.04,,
02/1966,,620903,,0.88,,
03/1966,,528504,,0.14,,
04/1966,,608304,,0.95,,
05/1966,,686240,,0.36,,
06/1966,,504351,,0.00,,
07/1966,,321647,,0.00,,
08/1966,,270242,,0.00,,
09/1966,,211228,,0.02,,
10/1966,,229955,,0.00,,
11/1966,,273234,,2.01,,
12/1966,,559429,,8.12,,
01/1967,,646787,,3.80,,
02/1967,,705851,,0.61,,
03/1967,,780375,,4.33,,
04/1967,,845798,,8.70,,
05/1967,,844935,,0.40,,
06/1967,,957641,,0.10,,
07/1967,,963098,,0.04,,
08/1967,,742792,,0.00,,
09/1967,,666012,,0.28,,
10/1967,,650002,,0.00,,
11/1967,,692778,,1.59,,
12/1967,,699589,,2.47,,
01/1968,,680450,,2.46,,
02/1968,,707019,,0.92,,
03/1968,,655708,,1.87,,
04/1968,,670033,,0.82,,
05/1968,,739143,,0.39,,
06/1968,,558137,,0.00,,
07/1968,,378470,,0.00,,
08/1968,,349236,,0.05,,
09/1968,,306592,,0.00,,
10/1968,,342094,,1.85,,
11/1968,,380336,,2.41,,
12/1968,,420877,,4.95,,
01/1969,,783212,,13.90,,
02/1969,,818947,,7.69,,
03/1969,,664595,,1.93,,
04/1969,,581190,,2.07,,
05/1969,,926143,,0.03,,
06/1969,,951799,,0.57,,
07/1969,,968689,,0.14,,
08/1969,,819477,,0.00,,
09/1969,,712531,,0.18,,
10/1969,,666862,,0.29,,
11/1969,,668849,,1.06,,
12/1969,,690179,,1.87,,
01/1970,,722637,,6.26,,
02/1970,,769496,,1.40,,
03/1970,,803555,,2.88,,
04/1970,,814185,,0.31,,
05/1970,,923135,,0.00,,
06/1970,,829320,,0.37,,
07/1970,,616309,,0.01,,
08/1970,,522131,,0.00,,
09/1970,,498940,,0.00,,
10/1970,,514148,,0.05,,
11/1970,,541031,,4.26,,
12/1970,,603716,,3.89,,
01/1971,,653927,,1.44,,
02/1971,,700704,,0.82,,
03/1971,,670507,,1.62,,
04/1971,,720669,,0.82,,
05/1971,,812496,,2.14,,
06/1971,,748259,,0.00,,
07/1971,,550380,,0.00,,
08/1971,,403095,,0.00,,
09/1971,,368797,,0.12,,
10/1971,,385216,,0.00,,
11/1971,,400774,,1.49,,
12/1971,,426992,,5.09,,
01/1972,,453917,,0.50,,
02/1972,,452450,,1.28,,
03/1972,,430180,,0.00,,
04/1972,,488812,,0.38,,
05/1972,,573872,,0.15,,
06/1972,,487168,,0.12,,
07/1972,,250709,,0.00,,
08/1972,,199149,,0.00,,
09/1972,,209828,,0.30,,
10/1972,,243378,,0.37,,
11/1972,,285613,,4.79,,
12/1972,,325729,,1.84,,
01/1973,,393027,,4.90,,
02/1973,,484487,,5.08,,
03/1973,,583700,,4.36,,
04/1973,,558008,,0.33,,
05/1973,,839820,,0.09,,
06/1973,,947130,,0.00,,
07/1973,,688497,,0.00,,
08/1973,,489776,,0.00,,
09/1973,,425683,,0.00,,
10/1973,,452566,,2.01,,
11/1973,,509094,,3.11,,
12/1973,,543149,,3.44,,
01/1974,,654302,,5.24,,
02/1974,,690805,,0.70,,
03/1974,,782128,,4.73,,
04/1974,,816299,,2.63,,
05/1974,,970266,,0.02,,
06/1974,,974168,,0.00,,
07/1974,,721603,,0.15,,
08/1974,,527919,,0.00,,
09/1974,,465779,,0.00,,
10/1974,,464253,,2.43,,
11/1974,,480102,,1.20,,
12/1974,,490580,,2.38,,
01/1975,,503372,,1.20,,
02/1975,,558051,,3.70,,
03/1975,,586524,,5.05,,
04/1975,,571778,,1.73,,
05/1975,,772566,,0.06,,
06/1975,,824523,,0.00,,
07/1975,,606682,,0.00,,
08/1975,,426281,,0.07,,
09/1975,,354380,,0.22,,
10/1975,,406849,,1.36,,
11/1975,,456433,,0.45,,
12/1975,,475725,,0.23,,
01/1976,,480732,,0.00,,
02/1976,,503147,,5.96,,
03/1976,,516576,,1.38,,
04/1976,,546956,,1.15,,
05/1976,,577358,,0.00,,
06/1976,,423138,,0.00,,
07/1976,,259975,,0.05,,
08/1976,,195398,,0.06,,
09/1976,,207654,,0.86,,
10/1976,,230276,,0.59,,
11/1976,,246150,,0.45,,
12/1976,,253369,,1.58,,
01/1977,,266291,,1.48,,
02/1977,,275660,,0.47,,
03/1977,,291954,,0.74,,
04/1977,,338592,,0.03,,
05/1977,,390068,,2.03,,
06/1977,,341790,,0.50,,
07/1977,,126459,,0.00,,
08/1977,,67176,,0.03,,
09/1977,,67889,,0.00,,
10/1977,,79589,,0.31,,
11/1977,,93509,,1.41,,
12/1977,,152664,,6.67,,
01/1978,,309692,,6.26,,
02/1978,,507767,,7.37,,
03/1978,,545467,,6.29,,
04/1978,,488132,,5.91,,
05/1978,,606007,,0.00,,
06/1978,,884480,,0.01,,
07/1978,,876809,,0.00,,
08/1978,,652163,,0.00,,
09/1978,,--,,1.29,,
10/1978,,648622,,0.00,,
11/1978,,645136,,1.23,,
12/1978,,658623,,1.63,,
01/1979,,711032,,5.07,,
02/1979,,788903,,4.90,,
03/1979,,856797,,4.68,,
04/1979,,841563,,0.16,,
05/1979,,984639,,0.26,,
06/1979,,887248,,0.02,,
07/1979,,654501,,0.07,,
08/1979,,524254,,0.00,,
09/1979,,484045,,0.06,,
10/1979,,508341,,0.75,,
11/1979,,533628,,1.65,,
12/1979,,562915,,1.35,,
01/1980,,750237,,7.10,,
02/1980,,873345,,5.52,,
03/1980,,683025,,3.14,,
04/1980,,625844,,1.45,,
05/1980,,741853,,0.38,,
06/1980,,967158,,0.00,,
07/1980,,934989,,0.00,,
08/1980,,735711,,0.00,,
09/1980,,683552,,0.00,,
10/1980,,689069,,0.00,,
11/1980,,722575,,0.00,,
12/1980,,737555,,0.00,,
01/1981,,745260,,--,,
02/1981,,768592,,--,,
03/1981,,782081,,--,,
04/1981,,882765,,--,,
05/1981,,936990,,--,,
06/1981,,714950,,--,,
07/1981,,462115,,--,,
08/1981,,307886,,--,,
09/1981,,327914,,--,,
10/1981,,348873,,--,,
11/1981,,400840,,--,,
12/1981,,450479,,--,,
01/1982,,548447,,--,,
02/1982,,632853,,--,,
03/1982,,782081,,--,,
04/1982,,926607,,--,,
05/1982,,929225,,--,,
06/1982,,983871,,--,,
07/1982,,890022,,--,,
08/1982,,677345,,--,,
09/1982,,743657,,--,,
10/1982,,736908,,3.65,,
11/1982,,697751,,6.93,,
12/1982,,644672,,4.65,,
01/1983,,646018,,7.89,,
02/1983,,664597,,5.46,,
03/1983,,764921,,--,,
04/1983,,554691,,1.89,,
05/1983,,594523,,0.59,,
06/1983,,915895,,0.00,,
07/1983,,979163,,0.00,,
08/1983,,925412,,0.05,,
09/1983,,864638,,1.75,,
10/1983,,771658,,0.51,,
11/1983,,739553,,5.25,,
12/1983,,763140,,4.32,,
01/1984,,674490,,0.22,,
02/1984,,735861,,2.05,,
03/1984,,743105,,1.27,,
04/1984,,784455,,0.73,,
05/1984,,945141,,0.00,,
06/1984,,882599,,0.20,,
07/1984,,676107,,0.01,,
08/1984,,536786,,0.00,,
09/1984,,514428,,0.00,,
10/1984,,515171,,1.13,,
11/1984,,556665,,4.24,,
12/1984,,593278,,2.90,,
01/1985,,622834,,0.82,,
02/1985,,614797,,2.25,,
03/1985,,594834,,3.56,,
04/1985,,719519,,0.14,,
05/1985,,837001,,0.00,,
06/1985,,664786,,0.00,,
07/1985,,333000,,0.05,,
08/1985,,192082,,0.00,,
09/1985,,220171,,1.05,,
10/1985,,263254,,0.96,,
11/1985,,304545,,5.17,,
12/1985,,368425,,1.33,,
01/1986,,458142,,2.35,,
02/1986,,805157,,9.18,,
03/1986,,835395,,6.04,,
04/1986,,745160,,0.34,,
05/1986,,883593,,0.01,,
