Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1999,,14724,,
11/1999,,15380,,
12/1999,,16061,,
01/2000,,22245,,
02/2000,,55587,,
03/2000,,62417,,
04/2000,,65856,,
05/2000,,61852,,
06/2000,,52357,,
07/2000,,39340,,
08/2000,,29032,,
09/2000,,23233,,
10/2000,,20953,,
11/2000,,21608,,
12/2000,,21801,,
01/2001,,24001,,
02/2001,,26237,,
03/2001,,35716,,
04/2001,,37826,,
05/2001,,33507,,
06/2001,,23513,,
07/2001,,13540,,
08/2001,,7989,,
09/2001,,7820,,
10/2001,,7728,,
11/2001,,8464,,
12/2001,,13446,,
01/2002,,19451,,
02/2002,,22916,,
03/2002,,31044,,
04/2002,,34134,,
05/2002,,35497,,
06/2002,,25108,,
07/2002,,16296,,
08/2002,,11205,,
09/2002,,10366,,
10/2002,,10200,,
11/2002,,11749,,
12/2002,,14539,,
01/2003,,17819,,
02/2003,,20909,,
03/2003,,24929,,
04/2003,,29772,,
05/2003,,35517,,
06/2003,,35201,,
07/2003,,25574,,
08/2003,,17898,,
09/2003,,12320,,
10/2003,,9521,,
11/2003,,9688,,
12/2003,,11764,,
01/2004,,14545,,
02/2004,,19829,,
03/2004,,24921,,
04/2004,,26791,,
05/2004,,24744,,
06/2004,,17233,,
07/2004,,9587,,
08/2004,,4931,,
09/2004,,4643,,
10/2004,,5852,,
11/2004,,6680,,
12/2004,,11951,,
01/2005,,42733,,
02/2005,,57459,,
03/2005,,73021,,
04/2005,,77926,,
05/2005,,84371,,
06/2005,,79511,,
07/2005,,67650,,
08/2005,,57357,,
09/2005,,51249,,
10/2005,,45038,,
11/2005,,39413,,
12/2005,,37991,,
01/2006,,47740,,
02/2006,,52915,,
03/2006,,77009,,
04/2006,,83841,,
05/2006,,88404,,
06/2006,,84887,,
07/2006,,73731,,
08/2006,,63607,,
09/2006,,56099,,
10/2006,,49303,,
11/2006,,42558,,
12/2006,,39078,,
01/2007,,39949,,
02/2007,,43701,,
03/2007,,47833,,
04/2007,,45128,,
05/2007,,38197,,
06/2007,,27790,,
07/2007,,18064,,
08/2007,,10575,,
09/2007,,10361,,
10/2007,,10219,,
11/2007,,10347,,
12/2007,,11152,,
01/2008,,17382,,
02/2008,,29360,,
03/2008,,34553,,
04/2008,,33058,,
05/2008,,28232,,
06/2008,,19674,,
07/2008,,10310,,
08/2008,,5254,,
09/2008,,4945,,
10/2008,,4850,,
11/2008,,4770,,
12/2008,,4719,,
01/2009,,8890,,
02/2009,,15549,,
03/2009,,23085,,
04/2009,,27258,,
05/2009,,32187,,
06/2009,,28433,,
07/2009,,20190,,
08/2009,,18627,,
09/2009,,18337,,
10/2009,,18445,,
11/2009,,18050,,
12/2009,,20218,,
01/2010,,28802,,
02/2010,,42503,,
03/2010,,58297,,
04/2010,,70312,,
05/2010,,66900,,
06/2010,,62246,,
07/2010,,46419,,
08/2010,,36255,,
09/2010,,33594,,
10/2010,,34076,,
11/2010,,35270,,
12/2010,,49397,,
01/2011,,41281,,
02/2011,,53881,,
03/2011,,65197,,
04/2011,,64660,,
05/2011,,66384,,
06/2011,,61433,,
07/2011,,47290,,
08/2011,,36828,,
09/2011,,31432,,
10/2011,,27540,,
11/2011,,28459,,
12/2011,,29351,,
01/2012,,32451,,
02/2012,,34484,,
03/2012,,40863,,
04/2012,,48227,,
05/2012,,46135,,
06/2012,,36717,,
07/2012,,25755,,
08/2012,,17892,,
09/2012,,17066,,
10/2012,,16836,,
11/2012,,17246,,
12/2012,,22632,,
01/2013,,25222,,
02/2013,,27275,,
03/2013,,29772,,
04/2013,,31692,,
05/2013,,32122,,
06/2013,,22373,,
07/2013,,11784,,
08/2013,,4792,,
09/2013,,4749,,
10/2013,,4651,,
11/2013,,4765,,
12/2013,,5127,,
01/2014,,5483,,
02/2014,,6270,,
03/2014,,7462,,
04/2014,,8484,,
05/2014,,8724,,
06/2014,,6029,,
07/2014,,5346,,
08/2014,,5164,,
09/2014,,5021,,
10/2014,,4920,,
11/2014,,4911,,
12/2014,,5507,,
01/2015,,5839,,
02/2015,,6554,,
03/2015,,6840,,
04/2015,,7037,,
05/2015,,7091,,
06/2015,,5363,,
07/2015,,5124,,
08/2015,,4939,,
09/2015,,4792,,
10/2015,,4681,,
11/2015,,4746,,
12/2015,,6736,,
01/2016,,--,,
