Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1987,,24234,,
11/1987,,22754,,
12/1987,,39735,,
01/1988,,37020,,
02/1988,,52486,,
03/1988,,53967,,
04/1988,,54490,,
05/1988,,54944,,
06/1988,,52580,,
07/1988,,47120,,
08/1988,,45580,,
09/1988,,33609,,
10/1988,,25489,,
11/1988,,30676,,
12/1988,,32719,,
01/1989,,40539,,
02/1989,,45737,,
03/1989,,107774,,
04/1989,,117333,,
05/1989,,107963,,
06/1989,,95450,,
07/1989,,79848,,
08/1989,,59567,,
09/1989,,46232,,
10/1989,,33262,,
11/1989,,30196,,
12/1989,,29418,,
01/1990,,38460,,
02/1990,,41795,,
03/1990,,48991,,
04/1990,,49579,,
05/1990,,54117,,
06/1990,,51393,,
07/1990,,46753,,
08/1990,,41500,,
09/1990,,26474,,
10/1990,,20178,,
11/1990,,20113,,
12/1990,,19933,,
01/1991,,19539,,
02/1991,,20294,,
03/1991,,56314,,
04/1991,,85832,,
05/1991,,86494,,
06/1991,,84287,,
07/1991,,77433,,
08/1991,,57862,,
09/1991,,40785,,
10/1991,,29603,,
11/1991,,28474,,
12/1991,,29992,,
01/1992,,33280,,
02/1992,,78745,,
03/1992,,113368,,
04/1992,,126160,,
05/1992,,119205,,
06/1992,,115753,,
07/1992,,106758,,
08/1992,,69373,,
09/1992,,51804,,
10/1992,,44097,,
11/1992,,42283,,
12/1992,,39400,,
01/1993,,32594,,
02/1993,,59965,,
03/1993,,128864,,
04/1993,,136868,,
05/1993,,138912,,
06/1993,,130165,,
07/1993,,122431,,
08/1993,,77775,,
09/1993,,54868,,
10/1993,,43661,,
11/1993,,39064,,
12/1993,,33830,,
01/1994,,42368,,
02/1994,,64230,,
03/1994,,69111,,
04/1994,,51926,,
05/1994,,51272,,
06/1994,,46639,,
07/1994,,41436,,
08/1994,,37605,,
09/1994,,26117,,
10/1994,,16656,,
11/1994,,16253,,
12/1994,,19691,,
01/1995,,31005,,
02/1995,,53520,,
03/1995,,82146,,
04/1995,,128571,,
05/1995,,128446,,
06/1995,,123408,,
07/1995,,105933,,
08/1995,,76473,,
09/1995,,65965,,
10/1995,,41943,,
11/1995,,29435,,
12/1995,,34106,,
01/1996,,54292,,
02/1996,,62007,,
03/1996,,98217,,
04/1996,,129282,,
05/1996,,130417,,
06/1996,,122309,,
07/1996,,106083,,
08/1996,,81344,,
09/1996,,62170,,
10/1996,,41101,,
11/1996,,39592,,
12/1996,,73456,,
01/1997,,67641,,
02/1997,,61169,,
03/1997,,74030,,
04/1997,,71723,,
05/1997,,56442,,
06/1997,,50911,,
07/1997,,47507,,
08/1997,,44935,,
09/1997,,39572,,
10/1997,,31881,,
11/1997,,38801,,
12/1997,,42539,,
01/1998,,47209,,
02/1998,,39470,,
03/1998,,96970,,
04/1998,,133984,,
05/1998,,130502,,
06/1998,,125747,,
07/1998,,108606,,
08/1998,,86395,,
09/1998,,66899,,
10/1998,,40290,,
11/1998,,34329,,
12/1998,,33940,,
01/1999,,46775,,
02/1999,,75276,,
03/1999,,122431,,
04/1999,,132109,,
05/1999,,125006,,
06/1999,,116502,,
07/1999,,92143,,
08/1999,,70777,,
09/1999,,60499,,
10/1999,,41689,,
11/1999,,40871,,
12/1999,,42475,,
01/2000,,59779,,
02/2000,,81440,,
03/2000,,103520,,
04/2000,,123776,,
05/2000,,125170,,
06/2000,,104593,,
07/2000,,79880,,
08/2000,,64815,,
09/2000,,47003,,
10/2000,,35342,,
11/2000,,35589,,
12/2000,,35741,,
01/2001,,46548,,
02/2001,,74941,,
03/2001,,108455,,
04/2001,,112166,,
05/2001,,85008,,
06/2001,,77682,,
07/2001,,67985,,
08/2001,,46980,,
09/2001,,28968,,
10/2001,,24122,,
11/2001,,28742,,
12/2001,,45012,,
01/2002,,47045,,
02/2002,,74701,,
03/2002,,90511,,
04/2002,,86095,,
05/2002,,81686,,
06/2002,,75023,,
07/2002,,64954,,
08/2002,,44553,,
09/2002,,27221,,
10/2002,,23476,,
11/2002,,23421,,
12/2002,,59576,,
01/2003,,43960,,
02/2003,,75378,,
03/2003,,116672,,
04/2003,,129077,,
05/2003,,132156,,
06/2003,,117074,,
07/2003,,92541,,
08/2003,,80778,,
09/2003,,51054,,
10/2003,,31504,,
11/2003,,32838,,
12/2003,,32204,,
01/2004,,46619,,
02/2004,,61939,,
03/2004,,114191,,
04/2004,,111896,,
05/2004,,95534,,
06/2004,,79078,,
07/2004,,56313,,
08/2004,,43620,,
09/2004,,28120,,
10/2004,,26586,,
11/2004,,27414,,
12/2004,,44142,,
01/2005,,58885,,
02/2005,,82125,,
03/2005,,118369,,
04/2005,,126374,,
05/2005,,126165,,
06/2005,,122502,,
07/2005,,94411,,
08/2005,,61031,,
09/2005,,45753,,
10/2005,,38481,,
11/2005,,38254,,
12/2005,,108232,,
01/2006,,53769,,
02/2006,,89697,,
03/2006,,101206,,
04/2006,,118815,,
05/2006,,128780,,
06/2006,,114270,,
07/2006,,90227,,
08/2006,,62368,,
09/2006,,51881,,
10/2006,,41289,,
11/2006,,40230,,
12/2006,,46361,,
01/2007,,35433,,
02/2007,,58200,,
03/2007,,77691,,
04/2007,,70432,,
05/2007,,59993,,
06/2007,,52921,,
07/2007,,46502,,
08/2007,,36246,,
09/2007,,23435,,
10/2007,,21295,,
11/2007,,20466,,
12/2007,,20727,,
01/2008,,56047,,
02/2008,,60272,,
03/2008,,86198,,
04/2008,,91933,,
05/2008,,80410,,
06/2008,,70370,,
07/2008,,58173,,
08/2008,,37924,,
09/2008,,22942,,
10/2008,,22914,,
11/2008,,22484,,
12/2008,,22086,,
01/2009,,22793,,
02/2009,,38960,,
03/2009,,75507,,
04/2009,,79909,,
05/2009,,90972,,
06/2009,,90546,,
07/2009,,70930,,
08/2009,,52387,,
09/2009,,37353,,
10/2009,,32614,,
11/2009,,29050,,
12/2009,,30366,,
01/2010,,39233,,
02/2010,,45243,,
03/2010,,81652,,
04/2010,,122874,,
05/2010,,127553,,
06/2010,,117761,,
07/2010,,94086,,
08/2010,,63173,,
09/2010,,49793,,
10/2010,,40574,,
11/2010,,23407,,
12/2010,,35198,,
01/2011,,38668,,
02/2011,,51279,,
03/2011,,56047,,
04/2011,,113317,,
05/2011,,129715,,
06/2011,,118004,,
07/2011,,95316,,
08/2011,,63579,,
09/2011,,52794,,
10/2011,,43417,,
11/2011,,42544,,
12/2011,,36807,,
01/2012,,36606,,
02/2012,,37719,,
03/2012,,77790,,
04/2012,,115148,,
05/2012,,101169,,
06/2012,,76611,,
07/2012,,55096,,
08/2012,,33709,,
09/2012,,29222,,
10/2012,,19625,,
11/2012,,27954,,
12/2012,,35296,,
01/2013,,43665,,
02/2013,,46173,,
03/2013,,47520,,
04/2013,,47187,,
05/2013,,47329,,
06/2013,,46997,,
07/2013,,44164,,
08/2013,,41071,,
09/2013,,29118,,
10/2013,,17897,,
11/2013,,16419,,
12/2013,,14932,,
01/2014,,13560,,
02/2014,,18636,,
03/2014,,47782,,
04/2014,,78251,,
05/2014,,85197,,
06/2014,,69813,,
07/2014,,56499,,
08/2014,,44347,,
09/2014,,36586,,
10/2014,,28912,,
11/2014,,29118,,
12/2014,,41224,,
01/2015,,41224,,
02/2015,,58418,,
03/2015,,60524,,
04/2015,,67975,,
05/2015,,69658,,
06/2015,,73963,,
07/2015,,61540,,
08/2015,,46737,,
09/2015,,35848,,
10/2015,,26822,,
11/2015,,26633,,
12/2015,,36887,,
01/2016,,--,,
