Date, ,STORAGE&nbsp, ,,LKEVAP&nbsp, ,,
 , ,AF, ,AF, ,
10/1975,,12000,,
11/1975,,12800,,
12/1975,,12100,,
01/1976,,17800,,
02/1976,,37400,,
03/1976,,59600,,
04/1976,,55900,,
05/1976,,41900,,
06/1976,,9830,,
07/1976,,5250,,
08/1976,,4590,,
09/1976,,3460,,
10/1976,,3458,,
11/1976,,3458,,
12/1976,,3458,,
01/1977,,3458,,
02/1977,,3458,,
03/1977,,6590,,
04/1977,,4568,,
05/1977,,4568,,
06/1977,,5323,,
07/1977,,3587,,
08/1977,,2995,,
09/1977,,2995,,
10/1977,,2995,,
11/1977,,2995,,
12/1977,,9680,,
01/1978,,79908,,
02/1978,,64747,,
03/1978,,54064,,
04/1978,,69265,,
05/1978,,96325,,
06/1978,,112980,,
07/1978,,90223,,
08/1978,,29000,,
09/1978,,43578,,
10/1978,,45769,,
11/1978,,38037,,
12/1978,,52336,,
01/1979,,55129,,
02/1979,,81787,,
03/1979,,106871,,
04/1979,,174420,,
05/1979,,289314,,
06/1979,,281799,,
07/1979,,215371,,
08/1979,,153520,,
09/1979,,115920,,
10/1979,,127700,,
11/1979,,157000,,
12/1979,,181700,,
01/1980,,282500,,
02/1980,,400000,,
03/1980,,384600,,
04/1980,,257000,,
05/1980,,237800,,
06/1980,,351500,,
07/1980,,329900,,
08/1980,,276900,,
09/1980,,276900,,
10/1980,,268900,,
11/1980,,285900,,
12/1980,,316000,,
01/1981,,340800,,
02/1981,,371700,,
03/1981,,420800,,
04/1981,,404200,,
05/1981,,383800,,
06/1981,,305700,,
07/1981,,219000,,
08/1981,,149400,,
09/1981,,124300,,
10/1981,,141100,,
11/1981,,204500,,
12/1981,,345700,,
01/1982,,493100,,
02/1982,,726400,,
03/1982,,903100,,
04/1982,,1229400,,
05/1982,,1546200,,
06/1982,,1636300,,
07/1982,,1567500,,
08/1982,,1431700,,
09/1982,,1357900,,
10/1982,,1352200,,
11/1982,,1430500,,
12/1982,,1541900,,
01/1983,,1682700,,
02/1983,,1880100,,
03/1983,,2070500,,
04/1983,,1931300,,
05/1983,,2028300,,
06/1983,,2368700,,
07/1983,,2325400,,
08/1983,,2141700,,
09/1983,,2024200,,
10/1983,,1971300,,
11/1983,,2036100,,
12/1983,,2052300,,
01/1984,,1911100,,
02/1984,,1904400,,
03/1984,,1941500,,
04/1984,,1933900,,
05/1984,,2030700,,
06/1984,,2059200,,
07/1984,,1986000,,
08/1984,,1909900,,
09/1984,,1841200,,
10/1984,,1825600,,
11/1984,,1873100,,
12/1984,,1885300,,
01/1985,,1866500,,
02/1985,,1867600,,
03/1985,,1903400,,
04/1985,,1921200,,
05/1985,,1900300,,
06/1985,,1822600,,
07/1985,,1667600,,
08/1985,,1540300,,
09/1985,,1508100,,
10/1985,,1515000,,
11/1985,,1532300,,
12/1985,,1567400,,
01/1986,,1633000,,
02/1986,,1994600,,
03/1986,,2037200,,
04/1986,,2091400,,
05/1986,,2213300,,
06/1986,,2253700,,
07/1986,,2164200,,
08/1986,,2030600,,
09/1986,,1947900,,
10/1986,,1936600,,
11/1986,,1942900,,
12/1986,,1920300,,
01/1987,,1883500,,
02/1987,,1866400,,
03/1987,,1849700,,
04/1987,,1780200,,
05/1987,,1709800,,
06/1987,,1598181,,
07/1987,,1519496,,
08/1987,,1465943,,
09/1987,,1443100,,
10/1987,,1451235,,
11/1987,,1449052,,
12/1987,,1429934,,
01/1988,,1444413,,
02/1988,,1445300,,
03/1988,,1383900,,
04/1988,,1359136,,
05/1988,,1278828,,
06/1988,,1207100,,
07/1988,,1124000,,
08/1988,,1054566,,
09/1988,,989252,,
10/1988,,971816,,
11/1988,,937317,,
12/1988,,920121,,
01/1989,,921971,,
02/1989,,938286,,
03/1989,,985600,,
04/1989,,975400,,
05/1989,,908956,,
06/1989,,857467,,
07/1989,,769418,,
08/1989,,699400,,
09/1989,,671900,,
10/1989,,714800,,
11/1989,,734500,,
12/1989,,763400,,
01/1990,,777100,,--,,
02/1990,,800100,,--,,
03/1990,,769400,,--,,
04/1990,,714600,,--,,
05/1990,,633900,,--,,
06/1990,,567900,,--,,
07/1990,,479700,,--,,
08/1990,,411500,,
09/1990,,377700,,
10/1990,,375664,,
11/1990,,365100,,
12/1990,,385931,,
01/1991,,373300,,430,,
02/1991,,372603,,710,,
03/1991,,423122,,670,,
04/1991,,433159,,1540,,
05/1991,,423206,,2220,,
06/1991,,401992,,2840,,
07/1991,,339705,,3600,,
08/1991,,287469,,2620,,
09/1991,,296264,,2150,,
10/1991,,293066,,1430,,
11/1991,,289213,,470,,
12/1991,,317490,,230,,
01/1992,,328159,,200,,
02/1992,,374250,,610,,
03/1992,,422614,,750,,
04/1992,,365134,,1400,,
05/1992,,285900,,2200,,
06/1992,,232078,,2040,,
07/1992,,176298,,1860,,
08/1992,,116274,,1780,,
09/1992,,83839,,960,,
10/1992,,86920,,670,,
11/1992,,91020,,230,,
12/1992,,115600,,230,,
01/1993,,263600,,220,,
02/1993,,367800,,350,,
03/1993,,511000,,750,,
04/1993,,581500,,1580,,
05/1993,,684400,,2540,,
06/1993,,798000,,3820,,
07/1993,,766700,,4550,,
08/1993,,712000,,4290,,
09/1993,,670700,,2960,,
10/1993,,682746,,2050,,
11/1993,,709003,,1660,,
12/1993,,747513,,970,,
01/1994,,774252,,1260,,
02/1994,,792033,,1170,,
