Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1988,,9980,,
11/1988,,9860,,
12/1988,,9650,,
01/1989,,9640,,
02/1989,,9220,,
03/1989,,23000,,
04/1989,,80710,,
05/1989,,134270,,
06/1989,,161950,,
07/1989,,148480,,
08/1989,,145820,,
09/1989,,142890,,
10/1989,,151430,,
11/1989,,160300,,
12/1989,,174700,,
01/1990,,189900,,
02/1990,,188200,,
03/1990,,200300,,
04/1990,,190100,,
05/1990,,187200,,
06/1990,,185600,,
07/1990,,179000,,
08/1990,,172800,,
09/1990,,172800,,
10/1990,,170070,,
11/1990,,156680,,
12/1990,,149970,,
01/1991,,144140,,
02/1991,,139630,,
03/1991,,139750,,
04/1991,,130610,,
05/1991,,115460,,
06/1991,,116230,,
07/1991,,114280,,
08/1991,,112390,,
09/1991,,113730,,
10/1991,,121130,,
11/1991,,107100,,
12/1991,,118910,,
01/1992,,116010,,
02/1992,,125680,,
03/1992,,147460,,
04/1992,,135120,,
05/1992,,116160,,
06/1992,,115710,,
07/1992,,115530,,
08/1992,,112390,,
09/1992,,113220,,
10/1992,,113500,,
11/1992,,100900,,
12/1992,,90200,,
01/1993,,133900,,
02/1993,,194000,,
03/1993,,250900,,
04/1993,,279200,,
05/1993,,349300,,
06/1993,,405400,,
07/1993,,354200,,
08/1993,,328000,,
09/1993,,317500,,
10/1993,,306350,,
11/1993,,299590,,
12/1993,,292340,,
01/1994,,278840,,
02/1994,,270560,,
03/1994,,257950,,
04/1994,,239150,,
05/1994,,218240,,
06/1994,,208304,,
07/1994,,202410,,
08/1994,,186940,,
09/1994,,188880,,
10/1994,,193230,,
11/1994,,194440,,
12/1994,,205520,,
01/1995,,247060,,
02/1995,,245900,,
03/1995,,317901,,
04/1995,,275700,,
05/1995,,308680,,
06/1995,,360840,,
07/1995,,381230,,
08/1995,,369690,,
09/1995,,315730,,
10/1995,,272210,,
11/1995,,271840,,
12/1995,,267110,,
01/1996,,289690,,
02/1996,,277910,,
03/1996,,225750,,
04/1996,,247460,,
05/1996,,376860,,
06/1996,,398280,,
07/1996,,335770,,
08/1996,,303060,,
09/1996,,285050,,
10/1996,,302540,,
11/1996,,316840,,
12/1996,,307970,,
01/1997,,359720,,
02/1997,,244750,,
03/1997,,230280,,
04/1997,,255470,,
05/1997,,314810,,
06/1997,,322720,,
07/1997,,305120,,
08/1997,,298700,,
09/1997,,292840,,
10/1997,,313960,,
11/1997,,324510,,
12/1997,,307190,,
01/1998,,321330,,
02/1998,,297930,,
03/1998,,239210,,
04/1998,,255640,,
05/1998,,288050,,
06/1998,,402690,,
07/1998,,333070,,
08/1998,,254940,,
09/1998,,265180,,
10/1998,,292840,,
11/1998,,300490,,
12/1998,,300740,,
01/1999,,318420,,
02/1999,,284300,,
03/1999,,280820,,
04/1999,,283800,,
05/1999,,290320,,
06/1999,,343100,,
07/1999,,325580,,
08/1999,,301260,,
09/1999,,292590,,
10/1999,,312130,,
11/1999,,317900,,
12/1999,,313430,,
01/2000,,309520,,
02/2000,,302290,,
03/2000,,280820,,
04/2000,,291580,,
05/2000,,341190,,
06/2000,,351330,,
07/2000,,324510,,
08/2000,,309260,,
09/2000,,298700,,
10/2000,,316580,,
11/2000,,315790,,
12/2000,,314220,,
01/2001,,296400,,
02/2001,,280820,,
03/2001,,268330,,
04/2001,,270260,,
05/2001,,260870,,
06/2001,,235145,,
07/2001,,221450,,
08/2001,,208400,,
09/2001,,194790,,
10/2001,,204650,,
11/2001,,191780,,
12/2001,,202560,,
01/2002,,239450,,
02/2002,,233800,,
03/2002,,271730,,
04/2002,,295890,,
05/2002,,280830,,
06/2002,,286050,,
07/2002,,263970,,
08/2002,,247470,,
09/2002,,237620,,
10/2002,,250020,,
11/2002,,248862,,
12/2002,,262305,,
01/2003,,282800,,
02/2003,,305630,,
03/2003,,303830,,
04/2003,,312130,,
05/2003,,356870,,
06/2003,,376860,,
07/2003,,324250,,
08/2003,,287050,,
09/2003,,278840,,
10/2003,,289312,,
11/2003,,282310,,
12/2003,,289877,e,
01/2004,,310040,,
02/2004,,316840,,
03/2004,,350780,,
04/2004,,357420,,
05/2004,,307970,,
06/2004,,283740,,
07/2004,,264700,,
08/2004,,250720,,
09/2004,,242630,,
10/2004,,250720,,
11/2004,,243550,,
12/2004,,254230,,
01/2005,,307452,,
02/2005,,336580,,
03/2005,,371740,,
04/2005,,372590,,
05/2005,,397400,,
06/2005,,406540,,
07/2005,,367792,,
08/2005,,327180,,
09/2005,,294870,,
10/2005,,310040,,
11/2005,,305380,,
12/2005,,331480,,
01/2006,,264940,,
02/2006,,265180,,
03/2006,,340100,,
04/2006,,355480,,
05/2006,,380580,,
06/2006,,394760,,
07/2006,,356040,,
08/2006,,340100,,
09/2006,,304340,,
10/2006,,313430,,
11/2006,,311870,e,
12/2006,,322390,,
01/2007,,318950,,
02/2007,,307450,,
03/2007,,305380,,
04/2007,,288560,,
05/2007,,266870,,
06/2007,,252350,,
07/2007,,230450,,
08/2007,,219480,,
09/2007,,213630,,
10/2007,,213950,,
11/2007,,211560,,
12/2007,,199270,,
01/2008,,200860,,
02/2008,,206880,,
03/2008,,210980,,
04/2008,,200140,,
05/2008,,175758,,
06/2008,,162910,,
07/2008,,150660,,
08/2008,,150490,,
09/2008,,145770,,
10/2008,,145000,,
11/2008,,138560,,
12/2008,,137200,,
01/2009,,141640,,
02/2009,,156580,,
03/2009,,202460,,
04/2009,,230340,,
05/2009,,318090,,
06/2009,,330250,,
07/2009,,329580,,
08/2009,,329540,,
09/2009,,322320,,
10/2009,,289310,,
11/2009,,281380,,
12/2009,,278470,,
01/2010,,286420,,
02/2010,,303945,,
03/2010,,325780,,
04/2010,,350230,,
05/2010,,352370,,
06/2010,,392500,,
07/2010,,362030,,
08/2010,,339490,,
09/2010,,317630,,
10/2010,,280880,,
11/2010,,266860,,
12/2010,,245900,,
01/2011,,246360,,
02/2011,,288930,,
03/2011,,326970,,
04/2011,,292720,,
05/2011,,306670,,
06/2011,,409730,,
07/2011,,394470,,
08/2011,,340240,,
09/2011,,307840,,
10/2011,,273430,,
11/2011,,250600,,
12/2011,,255110,,
01/2012,,250020,,
02/2012,,240570,,
03/2012,,228450,,
04/2012,,251240,,
05/2012,,292840,,
06/2012,,293860,,
07/2012,,278840,,
08/2012,,269650,,
09/2012,,261280,,
10/2012,,258300,,
11/2012,,254580,,
12/2012,,292460,,
01/2013,,314610,,
02/2013,,336440,,
03/2013,,343510,,
04/2013,,331190,,
05/2013,,307970,,
06/2013,,290950,,
07/2013,,276680,,
08/2013,,263850,,
09/2013,,256470,,
10/2013,,251650,,
11/2013,,244640,,
12/2013,,228890,,
01/2014,,213630,,
02/2014,,202300,,
03/2014,,191020,,
04/2014,,173850,,
05/2014,,151400,,
06/2014,,142140,,
07/2014,,138730,,
08/2014,,133340,,
09/2014,,134030,,
10/2014,,132820,,
11/2014,,122110,,
12/2014,,136897,,
01/2015,,131820,,
02/2015,,126960,,
03/2015,,115590,,
04/2015,,102800,,
05/2015,,102700,,
06/2015,,89070,,
07/2015,,83330,,
08/2015,,81940,,
09/2015,,99780,,
10/2015,,117650,,
11/2015,,105960,,
12/2015,,96495,,
01/2016,,--,,
