Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1987,,19321,,
01/1988,,21641,,
02/1988,,14324,,
03/1988,,19346,,
04/1988,,28865,,
05/1988,,32417,,
06/1988,,29239,,
07/1988,,16820,,
08/1988,,5170,,
09/1988,,4330,,
10/1988,,3423,,
11/1988,,9109,,
12/1988,,11510,,
01/1989,,12686,,
02/1989,,16181,,
03/1989,,40144,,
04/1989,,60102,,
05/1989,,70222,,
06/1989,,75234,,
07/1989,,67419,,
08/1989,,60934,,
09/1989,,61215,,
10/1989,,53893,,
11/1989,,41710,,
12/1989,,33724,,
01/1990,,33374,,
02/1990,,30801,,
03/1990,,39669,,
04/1990,,57081,,
05/1990,,70908,,
06/1990,,72770,,
07/1990,,64468,,
08/1990,,55065,,
09/1990,,53893,,
10/1990,,50214,,
11/1990,,45620,,
12/1990,,43633,,
01/1991,,39129,,
02/1991,,36215,,
03/1991,,43752,,
04/1991,,38070,,
05/1991,,62743,,
06/1991,,75024,,
07/1991,,72810,,
08/1991,,63228,,
09/1991,,55120,,
10/1991,,41645,,
11/1991,,43861,,
12/1991,,44080,,
01/1992,,40905,,
02/1992,,37708,,
03/1992,,29148,,
04/1992,,49503,,
05/1992,,58378,,
06/1992,,52837,,
07/1992,,46566,,
08/1992,,31506,,
09/1992,,30454,,
10/1992,,30071,,
11/1992,,23855,,
12/1992,,23960,,
01/1993,,29370,,
02/1993,,19292,,
03/1993,,26282,,
04/1993,,21860,,
05/1993,,61974,,
06/1993,,73693,,
07/1993,,65736,,
08/1993,,60405,,
09/1993,,53108,,
10/1993,,42708,,
11/1993,,42141,,
12/1993,,41724,,
01/1994,,34495,,
02/1994,,35248,,
03/1994,,28581,,
04/1994,,44610,,
05/1994,,62625,,
06/1994,,65537,,
07/1994,,52518,,
08/1994,,37687,,
09/1994,,32574,,
10/1994,,31756,,
11/1994,,34808,,
12/1994,,36251,,
01/1995,,39178,,
02/1995,,23767,,
03/1995,,38076,,
04/1995,,35342,,
05/1995,,59722,,
06/1995,,76056,,
07/1995,,75274,,
08/1995,,59774,,
09/1995,,34516,,
10/1995,,29876,,
11/1995,,29138,,
12/1995,,41634,,
01/1996,,49479,,
02/1996,,63280,,
03/1996,,60083,,
04/1996,,65882,,
05/1996,,73983,,
06/1996,,75386,,
07/1996,,67283,,
08/1996,,57449,,
09/1996,,52064,,
10/1996,,46897,,
11/1996,,43678,,
12/1996,,57614,,
01/1997,,67901,,
02/1997,,39255,,
03/1997,,23149,,
04/1997,,46110,,
05/1997,,75386,,
06/1997,,75734,,
07/1997,,66855,,
08/1997,,44057,,
09/1997,,35111,,
10/1997,,27849,,
11/1997,,25370,,
12/1997,,26586,,
01/1998,,33472,,
02/1998,,20528,,
03/1998,,25569,,
04/1998,,28696,,
05/1998,,43552,,
06/1998,,75707,,
07/1998,,68520,,
08/1998,,52690,,
09/1998,,46298,,
10/1998,,45154,,
11/1998,,47819,,
12/1998,,40582,,
01/1999,,40226,,
02/1999,,17439,,
03/1999,,14043,,
04/1999,,20090,,
05/1999,,46028,,
06/1999,,68735,,
07/1999,,70565,,
08/1999,,63333,,
09/1999,,53256,,
10/1999,,43289,,
11/1999,,32513,r,
12/1999,,28323,,
01/2000,,36528,,
02/2000,,33698,,
03/2000,,20187,r,
04/2000,,42856,,
05/2000,,64319,,
06/2000,,67364,,
07/2000,,59619,,
08/2000,,31937,,
09/2000,,27716,,
10/2000,,18640,r,
11/2000,,18602,r,
12/2000,,11821,r,
01/2001,,11983,r,
02/2001,,12957,r,
03/2001,,21107,r,
04/2001,,33598,r,
05/2001,,56390,r,
06/2001,,56555,r,
07/2001,,54966,r,
08/2001,,50941,r,
09/2001,,48349,r,
10/2001,,40657,r,
11/2001,,43917,r,
12/2001,,42773,r,
01/2002,,26393,r,
02/2002,,19308,r,
03/2002,,21438,r,
04/2002,,36297,r,
05/2002,,57166,r,
06/2002,,66967,r,
07/2002,,62268,r,
08/2002,,58629,r,
09/2002,,55280,r,
10/2002,,52900,r,
11/2002,,52900,r,
12/2002,,26900,r,
01/2003,,27000,r,
02/2003,,21500,r,
03/2003,,23800,r,
04/2003,,31300,r,
05/2003,,50000,r,
06/2003,,66600,r,
07/2003,,57500,r,
08/2003,,50300,r,
09/2003,,38500,r,
10/2003,,32800,r,
11/2003,,29000,r,
12/2003,,31900,r,
01/2004,,29500,r,
02/2004,,33800,r,
03/2004,,39900,r,
04/2004,,52400,r,
05/2004,,67400,r,
06/2004,,67200,r,
07/2004,,57400,r,
08/2004,,45600,r,
09/2004,,41400,r,
10/2004,,47677,,
11/2004,,38033,,
12/2004,,34506,,
01/2005,,19403,,
02/2005,,19849,,
03/2005,,24588,,
04/2005,,26310,,
05/2005,,70961,,
06/2005,,74455,,
07/2005,,67968,,
08/2005,,60612,,
09/2005,,56375,,
10/2005,,45224,,
11/2005,,44598,,
12/2005,,66442,,
01/2006,,51428,,
02/2006,,49467,,
03/2006,,40649,,
04/2006,,40783,,
05/2006,,72110,,
06/2006,,75275,,
07/2006,,68008,,
08/2006,,58595,,
09/2006,,52052,,
10/2006,,43500,r,
11/2006,,46610,,
12/2006,,50113,,
01/2007,,45028,,
02/2007,,48405,,
03/2007,,49874,,
04/2007,,59982,,
05/2007,,67726,,
06/2007,,66480,,
07/2007,,57282,,
08/2007,,49694,,
09/2007,,42970,,
10/2007,,42570,,
11/2007,,41338,,
12/2007,,41261,,
01/2008,,40850,,
02/2008,,29460,,
03/2008,,28666,,
04/2008,,42592,,
05/2008,,64796,,
06/2008,,66217,,
07/2008,,56101,,
08/2008,,47760,,
09/2008,,41349,,
10/2008,,40230,,
11/2008,,40695,,
12/2008,,40306,,
01/2009,,43640,,
02/2009,,44010,,
03/2009,,35201,,
04/2009,,43439,,
05/2009,,67227,,
06/2009,,68271,,
07/2009,,62545,,
08/2009,,53639,,
09/2009,,46471,,
10/2009,,48534,,
11/2009,,47923,,
12/2009,,48392,,
01/2010,,36843,,
02/2010,,38776,,
03/2010,,44107,,
04/2010,,44220,,
05/2010,,49517,,
06/2010,,68384,,
07/2010,,61492,,
08/2010,,52508,,
09/2010,,45620,,
10/2010,,51157,,
11/2010,,46458,,
12/2010,,44169,,
01/2011,,46646,,
02/2011,,49780,,
03/2011,,35970,,
04/2011,,27983,,
05/2011,,35683,,
06/2011,,65307,,
07/2011,,66728,,
08/2011,,55388,,
09/2011,,44595,,
10/2011,,46938,,
11/2011,,45783,,
12/2011,,44473,,
01/2012,,49002,,
02/2012,,50473,,
03/2012,,56738,,
04/2012,,66367,,
05/2012,,66166,,
06/2012,,66131,,
07/2012,,58319,,
08/2012,,46162,,
09/2012,,40822,,
10/2012,,39019,,
11/2012,,44964,,
12/2012,,38822,,
01/2013,,29461,,
02/2013,,30904,,
03/2013,,39073,,
04/2013,,52850,,
05/2013,,66245,,
06/2013,,64945,,
07/2013,,57244,,
08/2013,,45701,,
09/2013,,39510,,
10/2013,,38225,,
11/2013,,37031,,
12/2013,,33354,,
01/2014,,34011,,
02/2014,,40598,,
03/2014,,46471,,
04/2014,,58825,,
05/2014,,67434,,
06/2014,,65902,,
07/2014,,58695,,
08/2014,,47096,,
09/2014,,40155,,
10/2014,,39126,,
11/2014,,29583,,
12/2014,,33503,,
01/2015,,34051,,
02/2015,,41185,,
03/2015,,33921,,
04/2015,,30866,,
05/2015,,35998,,
06/2015,,36255,,
07/2015,,35049,,
08/2015,,33592,,
09/2015,,32682,,
10/2015,,32309,,
11/2015,,33463,,
12/2015,,36482,,
01/2016,,--,,
