Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1969,,198930,,
01/1970,,189330,,
02/1970,,187740,,
03/1970,,191970,,
04/1970,,191040,,
05/1970,,210560,,
06/1970,,209600,,
07/1970,,207300,,
08/1970,,205100,,
09/1970,,202400,,
10/1970,,193460,,
11/1970,,193610,,
12/1970,,183800,,
01/1971,,177310,,
02/1971,,176250,,
03/1971,,185840,,
04/1971,,190510,,
05/1971,,187700,,
06/1971,,211000,,
07/1971,,208030,,
08/1971,,209590,,
09/1971,,202060,,
10/1971,,193290,,
11/1971,,193290,,
12/1971,,195470,,
01/1972,,183060,,
02/1972,,191380,,
03/1972,,185470,,
04/1972,,198850,,
05/1972,,199020,,
06/1972,,208370,,
07/1972,,205310,,
08/1972,,197980,,
09/1972,,194270,,
10/1972,,196420,,
11/1972,,191760,,
12/1972,,193200,,
01/1973,,199260,,
02/1973,,197630,,
03/1973,,190780,,
04/1973,,189060,,
05/1973,,205420,,
06/1973,,202920,,
07/1973,,204070,,
08/1973,,198829,,
09/1973,,194533,,
10/1973,,192690,,
11/1973,,195900,,
12/1973,,199000,,
01/1974,,190570,,
02/1974,,189020,,
03/1974,,189900,,
04/1974,,194290,,
05/1974,,202850,,
06/1974,,207720,,
07/1974,,208440,,
08/1974,,199080,,
09/1974,,194190,,
10/1974,,191020,,
11/1974,,188310,,
12/1974,,194000,,
01/1975,,186000,,
02/1975,,181690,,
03/1975,,199200,,
04/1975,,191820,,
05/1975,,180430,,
06/1975,,210760,,
07/1975,,203120,,
08/1975,,202940,,
09/1975,,201230,,
10/1975,,197220,,
11/1975,,191980,,
12/1975,,186260,,
01/1976,,186990,,
02/1976,,177450,,
03/1976,,170580,,
04/1976,,165410,,
05/1976,,155750,,
06/1976,,141900,,
07/1976,,127770,,
08/1976,,114870,,
09/1976,,106840,,
10/1976,,98760,,
11/1976,,92240,,
12/1976,,79810,,
01/1977,,68610,,
02/1977,,56620,,
03/1977,,47700,,
04/1977,,53040,,
05/1977,,60860,,
06/1977,,65220,,
07/1977,,66420,,
08/1977,,72800,,
09/1977,,82580,,
10/1977,,74890,,
11/1977,,71930,,
12/1977,,89800,,
01/1978,,133450,,
02/1978,,147430,,
03/1978,,180920,,
04/1978,,197950,,
05/1978,,181970,,
06/1978,,200000,,
07/1978,,208840,,
08/1978,,192860,,
09/1978,,177090,,
10/1978,,175990,,
11/1978,,181790,,
12/1978,,182550,,
01/1979,,186320,,
02/1979,,183000,,
03/1979,,197540,,
04/1979,,197820,,
05/1979,,202410,,
06/1979,,205910,,
07/1979,,191160,,
08/1979,,184910,,
09/1979,,176050,,
10/1979,,175700,,
11/1979,,186570,,
12/1979,,196660,,
01/1980,,199700,,
02/1980,,206530,,
03/1980,,188510,,
04/1980,,179990,,
05/1980,,189880,,
06/1980,,211920,,
07/1980,,198560,,
08/1980,,185820,,
09/1980,,177070,,
10/1980,,181450,,
11/1980,,174480,,
12/1980,,186380,,
01/1981,,192560,,
02/1981,,196350,,
03/1981,,190070,,
04/1981,,199190,,
05/1981,,198700,,
06/1981,,196660,,
07/1981,,181650,,
08/1981,,171560,,
09/1981,,182820,,
10/1981,,185800,,
11/1981,,193330,,
12/1981,,193400,,
01/1982,,190950,,
02/1982,,196830,,
03/1982,,190930,,
04/1982,,211190,,
05/1982,,210580,,
06/1982,,211550,,
07/1982,,202240,,
08/1982,,186280,,
09/1982,,177000,,
10/1982,,184110,,
11/1982,,200300,,
12/1982,,186630,,
01/1983,,189140,,
02/1983,,186320,,
03/1983,,200790,,
04/1983,,164600,,
05/1983,,191780,,
06/1983,,211800,,
07/1983,,210100,,
08/1983,,204260,,
09/1983,,187740,,
10/1983,,184900,,
11/1983,,198890,,
12/1983,,210560,,
01/1984,,194640,,
02/1984,,201950,,
03/1984,,202150,,
04/1984,,203450,,
05/1984,,211870,,
06/1984,,204360,,
07/1984,,187860,,
08/1984,,182000,,
09/1984,,184000,,
10/1984,,188900,,
11/1984,,191000,,
12/1984,,180050,,
01/1985,,174000,,
02/1985,,192100,,
03/1985,,191700,,
04/1985,,183140,,
05/1985,,190810,,
06/1985,,187500,,
07/1985,,187500,,
08/1985,,192250,,
09/1985,,193780,,
10/1985,,185530,,
11/1985,,185240,,
12/1985,,170070,,
01/1986,,185990,,
02/1986,,211140,,
