Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
11/1981,,61260,,
12/1981,,59180,,
01/1982,,55580,,
02/1982,,51790,,
03/1982,,62000,,
04/1982,,57210,,
05/1982,,58620,,
06/1982,,62880,,
07/1982,,63850,,
08/1982,,63200,,
09/1982,,62920,,
10/1982,,62070,,
11/1982,,60000,,
12/1982,,59230,,
01/1983,,55740,,
02/1983,,58840,,
03/1983,,59980,,
04/1983,,64130,,
05/1983,,66300,,
06/1983,,63760,,
07/1983,,65750,,
08/1983,,63200,,
09/1983,,66340,,
10/1983,,62070,,
11/1983,,59990,,
12/1983,,59230,,
01/1984,,59510,,
02/1984,,58840,,
03/1984,,59230,,
04/1984,,64220,,
05/1984,,65650,,
06/1984,,64510,,
07/1984,,65430,,
08/1984,,65340,,
09/1984,,65600,,
10/1984,,62670,,
11/1984,,58880,,
12/1984,,58800,,
01/1985,,58160,,
02/1985,,59820,,
03/1985,,59890,,
04/1985,,62780,,
05/1985,,65520,,
06/1985,,64850,,
07/1985,,65010,,
08/1985,,65060,,
09/1985,,65130,,
10/1985,,59980,,
11/1985,,58980,,
12/1985,,58720,,
01/1986,,59370,,
02/1986,,58670,,
03/1986,,58890,,
04/1986,,61600,,
05/1986,,64590,,
06/1986,,65800,,
07/1986,,65910,,
08/1986,,65982,,
09/1986,,63240,,
10/1986,,59000,,
11/1986,,57960,,
12/1986,,59010,,
01/1987,,58480,,
02/1987,,58880,,
03/1987,,58830,,
04/1987,,62840,,
05/1987,,64220,,
06/1987,,65129,,
07/1987,,65375,,
08/1987,,65399,,
09/1987,,59808,,
10/1987,,44492,,
11/1987,,36243,,
12/1987,,57037,,
01/1988,,57150,,
02/1988,,59970,,
03/1988,,61119,,
04/1988,,64538,,
05/1988,,65994,,
06/1988,,65770,,
07/1988,,65609,,
08/1988,,65449,,
09/1988,,35820,,
10/1988,,35705,,
11/1988,,49353,,
12/1988,,55260,,
01/1989,,56673,,
02/1989,,56235,,
03/1989,,58150,,
04/1989,,61777,,
05/1989,,65994,,
06/1989,,65252,,
07/1989,,65215,,
08/1989,,65079,,
09/1989,,63725,,
10/1989,,55900,,
11/1989,,54300,,
12/1989,,54500,,
01/1990,,56600,,
02/1990,,55200,,
03/1990,,58000,,
04/1990,,61300,,
05/1990,,64100,,
06/1990,,65000,,
07/1990,,63400,,
08/1990,,64700,,
09/1990,,61200,,
10/1990,,54374,,
11/1990,,54609,,
12/1990,,55422,,
01/1991,,55870,,
02/1991,,55910,,
03/1991,,60166,,
04/1991,,62154,,
05/1991,,63798,,
06/1991,,65104,,
07/1991,,65153,,
08/1991,,65042,,
09/1991,,37500,,
10/1991,,54684,,
11/1991,,55132,,
12/1991,,54705,,
01/1992,,55476,,
02/1992,,58951,,
03/1992,,56552,,
04/1992,,61671,,
05/1992,,65264,,
06/1992,,65559,,
07/1992,,65757,,
08/1992,,65166,,
09/1992,,64698,,
10/1992,,59700,,
11/1992,,55100,,
12/1992,,54200,,
01/1993,,53700,,
02/1993,,54500,,
03/1993,,57100,,
04/1993,,61600,,
05/1993,,65200,,
06/1993,,65400,,
07/1993,,65700,,
08/1993,,65100,,
09/1993,,64300,,
10/1993,,54652,,
11/1993,,54929,,
12/1993,,55704,,
01/1994,,56040,,
02/1994,,54577,,
03/1994,,57523,,
04/1994,,60039,,
05/1994,,64735,,
06/1994,,65375,,
07/1994,,65276,,
08/1994,,64465,,
09/1994,,58151,,
10/1994,,57500,,
11/1994,,55500,,
