Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
05/1981,,50600,,
06/1981,,65600,,
07/1981,,59380,,
08/1981,,51040,,
09/1981,,41690,,
10/1981,,34180,,
11/1981,,36410,,
12/1981,,53760,,
01/1982,,64600,,
02/1982,,78530,,
03/1982,,78520,,
04/1982,,89870,,
05/1982,,97610,,
06/1982,,97650,,
07/1982,,97740,,
08/1982,,90750,,
09/1982,,85390,,
10/1982,,84100,,
11/1982,,78400,,
12/1982,,78000,,
01/1983,,77960,,
02/1983,,75780,,
03/1983,,78430,,
04/1983,,78430,,
05/1983,,94700,,
06/1983,,96490,,
07/1983,,97560,,
08/1983,,97780,,
09/1983,,97710,,
10/1983,,86290,,
11/1983,,79840,,
12/1983,,76630,,
01/1984,,78090,,
02/1984,,78130,,
03/1984,,78170,,
04/1984,,95510,,
05/1984,,97640,,
06/1984,,97500,,
07/1984,,97210,,
08/1984,,91400,,
09/1984,,87320,,
10/1984,,75510,,
11/1984,,70420,,
12/1984,,78630,,
01/1985,,30350,,
02/1985,,25510,,
03/1985,,23370,,
04/1985,,59660,,
05/1985,,76930,,
06/1985,,87600,,
07/1985,,83130,,
08/1985,,73110,,
09/1985,,59790,,
10/1985,,26920,,
11/1985,,41840,,
12/1985,,30490,,
01/1986,,35070,,
02/1986,,78630,,
03/1986,,52500,,
04/1986,,83545,,
05/1986,,96400,,
06/1986,,97390,,
07/1986,,95350,,
08/1986,,85110,,
09/1986,,76980,,
10/1986,,75090,,
11/1986,,51190,,
12/1986,,32150,,
01/1987,,28350,,
02/1987,,30430,,
03/1987,,30310,,
04/1987,,29570,,
05/1987,,44550,,
06/1987,,50941,,
07/1987,,52201,,
08/1987,,51194,,
09/1987,,28150,,
10/1987,,19928,,
11/1987,,17530,,
12/1987,,15836,,
01/1988,,16140,,
02/1988,,24149,,
03/1988,,25462,,
04/1988,,23526,,
05/1988,,34235,,
06/1988,,35921,,
07/1988,,43643,,
08/1988,,30713,,
09/1988,,23184,,
10/1988,,20258,,
11/1988,,25104,,
12/1988,,23074,,
01/1989,,24574,,
02/1989,,20925,,
03/1989,,53671,,
04/1989,,79109,,
05/1989,,97349,,
06/1989,,97421,,
07/1989,,89318,,
08/1989,,80615,,
09/1989,,74893,,
10/1989,,54900,,
11/1989,,54300,,
12/1989,,33100,,
01/1990,,26700,,
02/1990,,21000,,
03/1990,,36500,,
04/1990,,38600,,
05/1990,,68500,,
06/1990,,77700,,
07/1990,,59900,,
08/1990,,49800,,
09/1990,,46800,,
10/1990,,50104,,
11/1990,,45675,,
12/1990,,27793,,
01/1991,,25800,,
02/1991,,23966,,
03/1991,,32666,,
04/1991,,40743,,
05/1991,,52586,,
06/1991,,70059,,
07/1991,,68833,,
08/1991,,54539,,
09/1991,,39066,,
10/1991,,41743,,
11/1991,,37799,,
12/1991,,25556,,
01/1992,,22550,,
02/1992,,25760,,
03/1992,,33989,,
04/1992,,40701,,
05/1992,,50677,,
06/1992,,45886,,
07/1992,,38691,,
08/1992,,35520,,
09/1992,,31043,,
10/1992,,28800,,
11/1992,,29600,,
12/1992,,24100,,
01/1993,,22800,,
02/1993,,21000,,
03/1993,,62500,,
04/1993,,97100,,
05/1993,,96900,,
06/1993,,96300,,
07/1993,,97600,,
08/1993,,91800,,
09/1993,,88500,,
10/1993,,73097,,
11/1993,,71712,,
12/1993,,45902,,
01/1994,,27673,,
02/1994,,20736,,
03/1994,,26622,,
04/1994,,34344,,
05/1994,,52787,,
06/1994,,54315,,
07/1994,,44006,,
08/1994,,33311,,
09/1994,,29400,,
10/1994,,28800,,
11/1994,,34000,,
12/1994,,20700,,
01/1995,,38400,,
02/1995,,33400,,
03/1995,,78500,,
04/1995,,95300,,
05/1995,,96200,,
06/1995,,96400,,
07/1995,,97300,,
08/1995,,97400,,
09/1995,,81900,,
10/1995,,74700,,
11/1995,,62000,,
12/1995,,53700,,
01/1996,,50000,,
02/1996,,78300,,
03/1996,,78400,,
04/1996,,96400,,
05/1996,,97100,,
06/1996,,97200,,
07/1996,,97200,,
08/1996,,93100,,
09/1996,,87400,,
10/1996,,73681,,
11/1996,,75537,,
12/1996,,66463,,
01/1997,,79261,,
02/1997,,78193,,
03/1997,,78292,,
04/1997,,96846,,
05/1997,,96989,,
06/1997,,97744,,
07/1997,,93621,,
08/1997,,91235,,
09/1997,,87074,,
10/1997,,69353,,
11/1997,,53872,,
12/1997,,32239,,
01/1998,,22818,,
02/1998,,28211,,
03/1998,,53580,,
04/1998,,78931,,
05/1998,,96760,,
06/1998,,97047,,
07/1998,,97349,,
08/1998,,94187,,
09/1998,,81850,,
10/1998,,67996,,
11/1998,,52643,,
12/1998,,43931,,
01/1999,,41391,,
02/1999,,55620,,
03/1999,,51985,,
04/1999,,77950,,
05/1999,,94904,,
06/1999,,97263,,
07/1999,,96251,,
08/1999,,87837,,
09/1999,,76679,,
10/1999,,55900,r,
11/1999,,46991,,
12/1999,,22400,r,
01/2000,,23096,,
02/2000,,33300,r,
03/2000,,40200,r,
04/2000,,66600,r,
05/2000,,97198,,
06/2000,,97593,,
07/2000,,96800,r,
08/2000,,91700,r,
09/2000,,70000,r,
10/2000,,49602,r,
11/2000,,40900,r,
12/2000,,19900,r,
01/2001,,15100,r,
02/2001,,14100,r,
03/2001,,22600,r,
04/2001,,43200,r,
05/2001,,64200,r,
06/2001,,60800,r,
07/2001,,45500,r,
08/2001,,36500,r,
09/2001,,35200,r,
10/2001,,32103,,
11/2001,,31697,,
12/2001,,25561,,
01/2002,,22244,,
02/2002,,23437,,
03/2002,,22492,,
04/2002,,55134,,
05/2002,,79454,,
06/2002,,96810,,
07/2002,,84371,,
08/2002,,69530,,
09/2002,,69889,,
10/2002,,55452,,
11/2002,,50076,,
12/2002,,32345,,
01/2003,,21106,,
02/2003,,21573,,
03/2003,,27909,,
04/2003,,52672,,
05/2003,,94904,,
06/2003,,97672,,
07/2003,,95581,,
08/2003,,82213,,
09/2003,,71604,,
10/2003,,75521,,
11/2003,,71287,,
12/2003,,65765,,
01/2004,,48896,,
02/2004,,37058,,
03/2004,,56347,,
04/2004,,70685,,
05/2004,,74659,,
06/2004,,92063,,
07/2004,,87486,,
08/2004,,71192,,
09/2004,,53958,,
10/2004,,38323,,
11/2004,,45150,,
12/2004,,24929,,
01/2005,,24403,,
02/2005,,25211,,
03/2005,,54320,,
04/2005,,77097,,
05/2005,,93373,,
06/2005,,96208,,
07/2005,,97342,,
08/2005,,86074,,
09/2005,,71680,,
10/2005,,56517,,
11/2005,,45967,,
12/2005,,61427,,
01/2006,,75404,,
02/2006,,78918,,
03/2006,,78054,,
04/2006,,80855,,
05/2006,,81134,,
06/2006,,97327,,
07/2006,,97103,,
08/2006,,84134,,
09/2006,,71223,,
10/2006,,55818,,
11/2006,,47446,,
12/2006,,39287,,
01/2007,,22479,,
02/2007,,22457,,
03/2007,,26270,,
04/2007,,32200,,
05/2007,,53002,,
06/2007,,60694,,
07/2007,,52530,,
08/2007,,46304,,
09/2007,,35530,,
10/2007,,27529,,
11/2007,,23087,,
12/2007,,20822,,
01/2008,,21525,,
02/2008,,22230,,
03/2008,,29306,,
04/2008,,45053,,
05/2008,,59824,,
06/2008,,81416,,
