Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1989,,22001,,
11/1989,,22057,,
12/1989,,22764,,
01/1990,,21713,,
02/1990,,21307,,
03/1990,,21062,,
04/1990,,22790,,
05/1990,,21995,,
06/1990,,22192,,
07/1990,,22266,,
08/1990,,22570,,
09/1990,,21026,,
10/1990,,21995,,
11/1990,,21970,,
12/1990,,22168,,
01/1991,,20787,,
02/1991,,20592,,
03/1991,,20704,,
04/1991,,21983,,
05/1991,,22607,,
06/1991,,20973,,
07/1991,,22670,,
08/1991,,22094,,
09/1991,,22507,,
10/1991,,21429,,
11/1991,,21946,,
12/1991,,22353,,
01/1992,,21593,,
02/1992,,22720,,
03/1992,,21574,,
04/1992,,21014,,
05/1992,,21877,,
06/1992,,21598,,
07/1992,,21768,,
08/1992,,19377,,
09/1992,,21325,,
10/1992,,22739,,
11/1992,,21489,,
12/1992,,21927,,
01/1993,,21574,,
02/1993,,21465,,
03/1993,,21145,,
04/1993,,22670,,
05/1993,,21683,,
06/1993,,21683,,
07/1993,,19726,,
08/1993,,20129,,
09/1993,,21044,,
10/1993,,20740,,
11/1993,,21896,,
12/1993,,21568,,
01/1994,,21689,,
02/1994,,20752,,
03/1994,,20691,,
04/1994,,19898,,
05/1994,,21768,,
06/1994,,22136,,
07/1994,,21604,,
08/1994,,22094,,
09/1994,,20739,,
10/1994,,21002,,
11/1994,,21128,,
12/1994,,20877,,
01/1995,,20100,,
02/1995,,22427,,
03/1995,,21659,,
04/1995,,20428,,
05/1995,,21957,,
06/1995,,21187,,
07/1995,,21348,,
08/1995,,21732,,
09/1995,,21295,,
10/1995,,22733,,
11/1995,,21952,,
12/1995,,21435,,
01/1996,,22934,,
02/1996,,20663,,
03/1996,,21989,,
04/1996,,22217,,
05/1996,,19350,,
06/1996,,21020,,
07/1996,,23141,,
08/1996,,22614,,
09/1996,,21217,,
10/1996,,20811,,
11/1996,,21380,,
12/1996,,21780,,
01/1997,,20129,,
02/1997,,21151,,
03/1997,,22476,,
04/1997,,22396,,
05/1997,,21695,,
06/1997,,21465,,
07/1997,,21026,,
08/1997,,21920,,
09/1997,,21620,r,
10/1997,,23053,,
11/1997,,21726,,
12/1997,,21193,,
01/1998,,19950,,
02/1998,,19725,,
03/1998,,20416,,
04/1998,,20912,,
05/1998,,21115,,
06/1998,,20924,,
07/1998,,21877,,
08/1998,,22204,,
09/1998,,21586,,
10/1998,,21440,,
11/1998,,22198,,
12/1998,,22050,,
01/1999,,21410,,
02/1999,,20853,,
03/1999,,20387,,
04/1999,,21157,,
05/1999,,21604,,
06/1999,,21786,,
07/1999,,21798,,
08/1999,,22075,,
09/1999,,22155,,
10/1999,,22408,,
11/1999,,22582,,
12/1999,,20907,,
01/2000,,19541,,
02/2000,,20853,,
03/2000,,20569,,
04/2000,,21902,,
05/2000,,21878,,
06/2000,,21970,,
07/2000,,22242,,
08/2000,,22075,,
09/2000,,21714,,
10/2000,,22396,,
11/2000,,22310,,
12/2000,,20686,,
01/2001,,21489,,
02/2001,,22303,,
03/2001,,20996,,
04/2001,,22174,,
05/2001,,22871,,
06/2001,,21423,,
07/2001,,22310,,
08/2001,,23473,,
09/2001,,20817,,
10/2001,,19973,,
11/2001,,21386,,
12/2001,,21307,,
01/2002,,22310,,
02/2002,,21805,,
03/2002,,21702,,
04/2002,,23085,,
05/2002,,21983,,
06/2002,,22013,,
07/2002,,22445,,
08/2002,,22538,,
09/2002,,22192,,
10/2002,,22044,,
11/2002,,22739,,
12/2002,,21671,,
01/2003,,20710,,
02/2003,,22217,,
03/2003,,22248,,
04/2003,,21152,,
05/2003,,21970,,
06/2003,,22626,,
