Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1983,,1850,,
11/1983,,1890,,
12/1983,,8480,,
01/1984,,14130,,
02/1984,,14960,,
03/1984,,20780,,
04/1984,,28490,,
05/1984,,44130,,
06/1984,,45340,,
07/1984,,45160,,
08/1984,,43510,,
09/1984,,40700,,
10/1984,,36210,,
11/1984,,26930,,
12/1984,,22590,,
01/1985,,17740,,
02/1985,,19190,,
03/1985,,21620,,
04/1985,,33160,,
05/1985,,42850,,
06/1985,,44330,,
07/1985,,41290,,
08/1985,,34430,,
09/1985,,28600,,
10/1985,,25930,,
11/1985,,21610,,
12/1985,,20290,,
01/1986,,22610,,
02/1986,,35450,,
03/1986,,34480,,
04/1986,,33990,,
05/1986,,41710,,
06/1986,,42680,,
07/1986,,40050,,
08/1986,,34880,,
09/1986,,30410,,
10/1986,,26000,,
11/1986,,24200,,
12/1986,,19600,,
01/1987,,16300,,
02/1987,,17400,,
03/1987,,19400,,
04/1987,,28300,,
05/1987,,34300,,
06/1987,,31900,,
07/1987,,28600,,
08/1987,,25100,,
09/1987,,21800,,
10/1987,,15872,,
11/1987,,10428,,
12/1987,,9656,,
01/1988,,11024,,
02/1988,,11028,,
03/1988,,13396,,
04/1988,,17465,,
05/1988,,20530,,
06/1988,,20170,,
07/1988,,17442,,
08/1988,,15020,,
09/1988,,12600,,
10/1988,,10200,,
11/1988,,10800,,
12/1988,,9610,,
01/1989,,9640,,
02/1989,,10800,,
03/1989,,21200,,
04/1989,,34400,,
05/1989,,43300,,
06/1989,,45400,,
07/1989,,41500,,
08/1989,,34300,,
09/1989,,30500,,
10/1989,,27690,,
11/1989,,26070,,
12/1989,,26685,,
01/1990,,27945,,
02/1990,,28906,,
03/1990,,32594,,
04/1990,,36910,,
05/1990,,43020,,
06/1990,,44801,,
07/1990,,43961,,
08/1990,,39887,,
09/1990,,39120,,
10/1990,,33296,,
11/1990,,28999,,
12/1990,,28406,,
01/1991,,28185,,
02/1991,,28285,,
03/1991,,30881,,
04/1991,,31161,,
05/1991,,43293,,
06/1991,,44845,,
07/1991,,44633,,
08/1991,,33380,,
09/1991,,26303,,
10/1991,,19946,,
11/1991,,20422,,
12/1991,,20544,,
01/1992,,19695,,
02/1992,,18928,,
03/1992,,18733,,
04/1992,,27129,,
05/1992,,30820,,
06/1992,,28929,,
07/1992,,25736,,
08/1992,,23818,,
09/1992,,23316,,
10/1992,,19386,,
11/1992,,19654,,
12/1992,,18475,,
01/1993,,16555,,
02/1993,,13439,,
03/1993,,13547,,
04/1993,,17390,,
05/1993,,36214,,
06/1993,,43224,,
07/1993,,39800,,
08/1993,,36381,,
09/1993,,35329,,
10/1993,,31622,,
11/1993,,29967,,
12/1993,,26802,,
01/1994,,24589,,
02/1994,,23197,,
03/1994,,21274,,
04/1994,,27785,,
05/1994,,35140,,
06/1994,,36605,,
07/1994,,36158,,
08/1994,,35384,,
09/1994,,32675,,
10/1994,,24889,,
11/1994,,22339,,
12/1994,,21255,,
01/1995,,21121,,
02/1995,,18003,,
03/1995,,24366,,
04/1995,,24195,,
05/1995,,37781,,
06/1995,,45192,,
07/1995,,44901,,
08/1995,,38329,,
09/1995,,27651,,
10/1995,,26407,,
11/1995,,26068,,
12/1995,,28819,,
01/1996,,30223,,
02/1996,,34535,,
03/1996,,34217,,
04/1996,,38207,,
05/1996,,44513,,
06/1996,,45598,,
07/1996,,42928,,
08/1996,,35825,,
09/1996,,30268,,
10/1996,,23679,,
11/1996,,28011,,
12/1996,,31251,,
01/1997,,32343,,
02/1997,,24924,,
03/1997,,21274,,
04/1997,,33592,,
