Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1989,,7988,,
11/1989,,7910,,
12/1989,,7847,,
01/1990,,7809,,
02/1990,,7913,,
03/1990,,7885,,
04/1990,,8223,,
05/1990,,8010,,
06/1990,,8242,,
07/1990,,8280,,
08/1990,,8044,,
09/1990,,7988,,
10/1990,,7782,,
11/1990,,7750,,
12/1990,,7908,,
01/1991,,7660,,
02/1991,,8077,,
03/1991,,7110,,
04/1991,,7620,,
05/1991,,7927,,
06/1991,,7983,,
07/1991,,8087,,
08/1991,,7842,,
09/1991,,7993,,
10/1991,,7932,,
11/1991,,7828,,
12/1991,,7823,,
01/1992,,7852,,
02/1992,,7814,,
03/1992,,7570,,
04/1992,,7571,,
05/1992,,7683,,
06/1992,,8471,,
07/1992,,8311,,
08/1992,,7611,,
09/1992,,8073,,
10/1992,,7732,,
11/1992,,7530,,
12/1992,,7345,,
01/1993,,8120,,
02/1993,,7372,,
03/1993,,7927,,
04/1993,,7710,,
05/1993,,7660,,
06/1993,,7503,,
07/1993,,7927,,
08/1993,,7377,,
09/1993,,7723,,
10/1993,,8426,,
11/1993,,7885,,
12/1993,,8134,,
01/1994,,7795,,
02/1994,,7970,,
03/1994,,8158,,
04/1994,,8035,,
05/1994,,8105,,
06/1994,,8021,,
07/1994,,7861,,
08/1994,,8148,,
09/1994,,7903,,
10/1994,,8016,,
11/1994,,7899,,
12/1994,,8124,,
01/1995,,7640,,
02/1995,,8002,,
03/1995,,7755,,
04/1995,,7665,,
05/1995,,7606,,
06/1995,,7728,,
07/1995,,8157,,
08/1995,,7724,,
09/1995,,7350,,
10/1995,,8138,,
11/1995,,7710,,
12/1995,,8148,,
01/1996,,8021,,
02/1996,,7946,,
03/1996,,8110,,
04/1996,,8058,,
05/1996,,8058,,
06/1996,,8426,,
07/1996,,8296,,
08/1996,,8446,,
09/1996,,8148,,
10/1996,,8138,,
11/1996,,8281,,
12/1996,,7181,,
01/1997,,7696,,
02/1997,,7638,,
03/1997,,7819,,
04/1997,,8296,,
05/1997,,7922,,
06/1997,,8176,,
07/1997,,7988,,
08/1997,,7809,,
09/1997,,8214,,
10/1997,,7932,,
11/1997,,8256,,
12/1997,,8296,,
01/1998,,8421,,
02/1998,,7889,,
03/1998,,6959,,
04/1998,,7692,,
05/1998,,6825,,
06/1998,,8256,,
07/1998,,8064,,
08/1998,,8351,,
09/1998,,8531,,
10/1998,,7746,,
11/1998,,8521,,
12/1998,,8016,,
01/1999,,8456,,
02/1999,,8058,,
03/1999,,7927,,
04/1999,,7530,,
05/1999,,7741,,
06/1999,,8035,,
07/1999,,7955,,
08/1999,,8087,,
09/1999,,8011,,
10/1999,,7089,,
11/1999,,7741,,
12/1999,,7665,,
01/2000,,7642,,
02/2000,,7810,,
03/2000,,8176,,
04/2000,,8101,,
05/2000,,7932,,
06/2000,,8194,,
07/2000,,8491,,
08/2000,,8125,,
09/2000,,7692,,
10/2000,,8346,,
11/2000,,8781,,
12/2000,,8106,,
01/2001,,7458,,
02/2001,,8003,,
03/2001,,7724,,
04/2001,,7701,,
05/2001,,7904,,
06/2001,,7866,,
07/2001,,8115,,
08/2001,,8101,,
09/2001,,8045,,
10/2001,,8172,,
11/2001,,7571,,
12/2001,,7909,,
01/2002,,7593,,
02/2002,,7692,,
03/2002,,7899,,
04/2002,,8421,,
05/2002,,8007,,
06/2002,,8176,,
07/2002,,8271,,
08/2002,,8286,,
09/2002,,8050,,
10/2002,,8209,,
11/2002,,8111,,
12/2002,,7960,,
01/2003,,8316,,
02/2003,,8516,,
03/2003,,7899,,
04/2003,,8601,,
05/2003,,7760,,
06/2003,,7941,,
07/2003,,8306,,
08/2003,,7847,,
09/2003,,8026,,
10/2003,,8326,,
11/2003,,8195,,
12/2003,,8181,,
01/2004,,8040,,
02/2004,,7998,,
03/2004,,7862,,
04/2004,,8205,,
05/2004,,7602,,
06/2004,,8228,,
07/2004,,8252,,
08/2004,,8281,,
09/2004,,8035,,
10/2004,,7787,,
11/2004,,8120,,
12/2004,,7946,,
01/2005,,7885,,
02/2005,,7148,,
03/2005,,8461,,
04/2005,,7647,,
05/2005,,6980,,
06/2005,,8144,,
07/2005,,8626,,
08/2005,,8676,,
09/2005,,8181,,
10/2005,,8111,,
11/2005,,8361,,
12/2005,,7270,,
01/2006,,7436,,
02/2006,,7805,,
03/2006,,7857,,
04/2006,,7833,,
05/2006,,8003,,
06/2006,,7674,,
07/2006,,7970,,
08/2006,,7904,,
09/2006,,7847,,
10/2006,,7719,,
11/2006,,7899,,
12/2006,,8144,,
01/2007,,7476,,
02/2007,,8050,,
03/2007,,7932,,
04/2007,,8158,,
05/2007,,7733,,
06/2007,,8087,,
07/2007,,7885,,
08/2007,,7764,,
09/2007,,8158,,
10/2007,,7652,,
11/2007,,7341,,
12/2007,,7575,,
01/2008,,7139,,
02/2008,,7847,,
03/2008,,7584,,
04/2008,,7876,,
05/2008,,8176,,
06/2008,,8195,,
07/2008,,8456,,
08/2008,,7998,,
09/2008,,8078,,
10/2008,,7391,,
11/2008,,8035,,
12/2008,,7670,,
01/2009,,7539,,
02/2009,,8087,,
03/2009,,7670,,
04/2009,,8007,,
05/2009,,8511,,
06/2009,,8401,,
07/2009,,8446,,
08/2009,,8451,,
09/2009,,8040,,
10/2009,,7988,,
11/2009,,8252,,
12/2009,,8341,,
01/2010,,7904,,
02/2010,,7517,,
03/2010,,7409,,
04/2010,,7584,,
05/2010,,8148,,
06/2010,,8040,,
07/2010,,8261,,
08/2010,,8421,,
09/2010,,8087,,
10/2010,,7688,,
11/2010,,7843,,
12/2010,,7885,,
01/2011,,7602,,
02/2011,,7368,,
03/2011,,7710,,
04/2011,,7476,,
05/2011,,7575,,
06/2011,,7544,,
07/2011,,8125,,
08/2011,,8476,,
09/2011,,8301,,
10/2011,,8050,,
11/2011,,8416,,
12/2011,,8209,,
01/2012,,7866,,
02/2012,,7899,,
03/2012,,7843,,
04/2012,,7946,,
05/2012,,8181,,
06/2012,,8506,,
07/2012,,8601,,
08/2012,,8371,,
09/2012,,7566,,
10/2012,,7913,,
11/2012,,8476,,
12/2012,,7643,,
01/2013,,7240,,
02/2013,,7824,,
03/2013,,7960,,
04/2013,,8153,,
05/2013,,8026,,
06/2013,,8167,,
07/2013,,8621,,
08/2013,,7909,,
09/2013,,7819,,
10/2013,,8238,,
11/2013,,7368,,
12/2013,,6797,,
01/2014,,8021,,
02/2014,,8035,,
03/2014,,7299,,
04/2014,,7918,,
05/2014,,7778,,
06/2014,,8371,,
07/2014,,8059,,
08/2014,,8181,,
09/2014,,6913,,
10/2014,,7956,,
11/2014,,8158,,
12/2014,,7562,,
01/2015,,7526,,
02/2015,,7093,,
03/2015,,8125,,
04/2015,,7913,,
05/2015,,7539,,
06/2015,,8346,,
07/2015,,7571,,
08/2015,,8026,,
09/2015,,7530,,
10/2015,,7286,,
11/2015,,7503,,
12/2015,,7278,,
01/2016,,--,,
